method,nan_in_y_pred,type,percent,iter,rmse,accuracy,precision,recall,f1,matthews_corr
missForest,False,MAR,10,1,0.39023616434076286,0.8477157360406091,0.8850174216027874,0.9039145907473309,0.8943661971830986,0.6221931556061289
missForest,False,MAR,10,2,0.3721527274952578,0.8615023474178404,0.8761904761904762,0.9324324324324325,0.9034369885433715,0.6634602358120709
missForest,False,MAR,20,1,0.41176990594935975,0.8304455445544554,0.8632478632478633,0.8985765124555161,0.880557977332171,0.5902592236660482
missForest,False,MAR,20,2,0.4070881622574774,0.8342792281498297,0.88,0.8856682769726248,0.8828250401284109,0.599925306605599
missForest,False,MAR,30,1,0.41965493007577853,0.8238897396630934,0.8723872387238724,0.8743109151047409,0.8733480176211453,0.5844082602381672
missForest,False,MAR,30,2,0.4056208844312537,0.8354716981132075,0.8850698174006445,0.881283422459893,0.8831725616291533,0.6051315403855201
missForest,False,MAR,40,1,0.41443687706579163,0.8282420749279539,0.8679245283018868,0.8853556485355648,0.8765534382767192,0.5947654373264775
missForest,False,MAR,40,2,0.41760227131857025,0.8256083429895713,0.8806343906510852,0.8697444352844188,0.8751555371215263,0.5861723297968718
missForest,False,MAR,50,1,0.4193139346887673,0.8241758241758241,0.8813905930470347,0.8602794411177644,0.8707070707070707,0.5965827416172108
missForest,False,MAR,50,2,0.4193497515475678,0.8241457858769932,0.8652714192282538,0.8802395209580839,0.8726912928759896,0.5887434983426931
missForest,False,MCAR,10,1,0.39667353892127877,0.8426501035196687,0.8487654320987654,0.9105960264900662,0.8785942492012779,0.6591264365027272
missForest,False,MCAR,10,2,0.41146108653630215,0.8306997742663657,0.8666666666666667,0.8813559322033898,0.8739495798319329,0.6164747788210876
missForest,False,MCAR,20,1,0.41545130189983726,0.8274002157497303,0.8510971786833855,0.8930921052631579,0.8715890850722311,0.6105396548380382
missForest,False,MCAR,20,2,0.4040321882380414,0.83675799086758,0.8613861386138614,0.8984509466437177,0.8795282224094356,0.6281171793817178
missForest,False,MCAR,30,1,0.4154426465742204,0.8274074074074074,0.8595927116827439,0.8871681415929203,0.8731627653783343,0.6041212682604737
missForest,False,MCAR,30,2,0.4119766627397744,0.8302752293577982,0.856043956043956,0.8954022988505748,0.8752808988764045,0.6116606997242403
missForest,False,MCAR,40,1,0.4217986610095483,0.8220858895705522,0.8601626016260162,0.8780082987551867,0.868993839835729,0.5922374596579613
missForest,False,MCAR,40,2,0.42596863189948486,0.8185507246376812,0.8544995794785534,0.8788927335640139,0.8665245202558635,0.584005157574903
missForest,False,MCAR,50,1,0.42813048368569606,0.8167042889390519,0.8526727509778357,0.8790322580645161,0.8656518861681006,0.578172504136315
missForest,False,MCAR,50,2,0.42560030202195875,0.8188643829188175,0.86001386001386,0.8708771929824561,0.8654114365411437,0.5886521412675263
missForest,False,MNAR,10,1,0.38262512347160704,0.8535980148883374,0.9183673469387755,0.8852459016393442,0.9015025041736228,0.6184321541066777
missForest,False,MNAR,10,2,0.3892494720807615,0.8484848484848485,0.8962264150943396,0.8990536277602523,0.8976377952755906,0.6061718829758942
missForest,False,MNAR,20,1,0.4036524784800467,0.8370646766169154,0.8951890034364262,0.8815566835871405,0.8883205456095482,0.5874729039189674
missForest,False,MNAR,20,2,0.40257789993644877,0.8379310344827586,0.905144694533762,0.8728682170542635,0.888713496448303,0.5922970867799229
missForest,False,MNAR,30,1,0.41519500897267425,0.827613104524181,0.914187643020595,0.8455026455026455,0.8785046728971962,0.5887063857387335
missForest,False,MNAR,30,2,0.4032312238001024,0.8374045801526717,0.9077090119435396,0.8672199170124482,0.887002652519894,0.5997242897265465
missForest,False,MNAR,40,1,0.4169987122933401,0.8261120739456961,0.9039115646258503,0.8497202238209433,0.8759785743716522,0.5892263379630847
missForest,False,MNAR,40,2,0.4069550600884204,0.8343875790684301,0.9161727349703641,0.8512981904012589,0.8825448613376835,0.6078137947818523
missForest,False,MNAR,50,1,0.4277646743846646,0.8170173833485819,0.905367231638418,0.8281653746770026,0.865047233468286,0.5883035639186938
missForest,False,MNAR,50,2,0.415036621680284,0.8277446026642168,0.8896276595744681,0.8648998060762767,0.8770894788593904,0.5901372061385054
