question,method,type,percent,iter,rmse,mpb,accuracy,precision,recall,f1,matthews_corr
X4654,missForest,MAR,10,1,0.0,0.0,1.0,1.0,1.0,1.0,
X4676,missForest,MAR,10,1,0.5916079783099616,5.0,0.65,0.7692307692307693,0.7142857142857143,0.7407407407407408,0.2058790548922549
X4729,missForest,MAR,10,1,0.3922322702763681,15.384615384615385,0.8461538461538461,0.8260869565217391,1.0,0.9047619047619047,0.5950103083819182
X4745,missForest,MAR,10,1,0.3611575592573076,4.3478260869565215,0.8695652173913043,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.6470984341213211
X4776,missForest,MAR,10,1,0.0,0.0,1.0,1.0,1.0,1.0,
X4780,missForest,MAR,10,1,0.0,0.0,1.0,1.0,1.0,1.0,
X4794,missForest,MAR,10,1,0.4767312946227962,13.636363636363635,0.7727272727272727,0.7894736842105263,0.9375,0.8571428571428572,0.35147974578331886
X4821,missForest,MAR,10,1,0.5107539184552492,0.0,0.7391304347826086,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.23333333333333334
X4827,missForest,MAR,10,1,0.0,0.0,1.0,1.0,1.0,1.0,
X4828,missForest,MAR,10,1,0.30151134457776363,0.0,0.9090909090909091,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.6944444444444444
X4954,missForest,MAR,10,1,0.508000508000762,19.35483870967742,0.7419354838709677,0.7666666666666667,0.9583333333333334,0.8518518518518519,-0.09860132971832693
X5132,missForest,MAR,10,1,0.2721655269759087,7.4074074074074066,0.9259259259259259,,,,
X5196,missForest,MAR,10,1,0.45883146774112354,10.526315789473683,0.7894736842105263,0.4,0.6666666666666666,0.5,0.3967876966218537
X5220,missForest,MAR,10,1,0.4803844614152614,23.076923076923077,0.7692307692307693,1.0,0.4,0.5714285714285715,0.5393598899705937
X5226,missForest,MAR,10,1,0.4898979485566356,8.0,0.76,0.9,0.8181818181818182,0.8571428571428572,0.12309149097933272
X4654,missForest,MAR,10,2,0.0,0.0,1.0,1.0,1.0,1.0,
X4676,missForest,MAR,10,2,0.3651483716701107,6.666666666666667,0.8666666666666667,0.8636363636363636,0.95,0.9047619047619048,0.6929023281557338
X4729,missForest,MAR,10,2,0.4714045207910317,14.814814814814813,0.7777777777777778,0.8076923076923077,0.9545454545454546,0.875,-0.09349469900084571
