question,method,type,percent,iter,rmse,mpb,accuracy,precision,recall,f1,matthews_corr
X4654,missForest,MAR,10,1,0.0,0.0,1.0,1.0,1.0,1.0,
X4655,missForest,MAR,10,1,0.45883146774112354,10.526315789473683,0.7894736842105263,0.8125,0.9285714285714286,0.8666666666666666,0.3967876966218537
X4656,missForest,MAR,10,1,0.4472135954999579,10.0,0.8,0.8421052631578947,0.9411764705882353,0.8888888888888888,-0.09637388493048533
X4658,missForest,MAR,10,1,0.508000508000762,12.903225806451612,0.7419354838709677,0.7,0.875,0.7777777777777777,0.49612131947373883
X4659,missForest,MAR,10,1,0.46770717334674267,3.125,0.78125,0.7647058823529411,0.8125,0.787878787878788,0.5636018619766345
X4660,missForest,MAR,10,1,0.48304589153964794,16.666666666666664,0.7666666666666667,0.7391304347826086,0.9444444444444444,0.8292682926829269,0.5147915616702295
X4668,missForest,MAR,10,1,0.3110855084191276,3.225806451612903,0.9032258064516129,0.8666666666666667,0.9285714285714286,0.896551724137931,0.8075384494492727
X4676,missForest,MAR,10,1,0.44095855184409843,8.333333333333332,0.8055555555555556,0.8076923076923077,0.9130434782608695,0.8571428571428572,0.5666759988537291
X4684,missForest,MAR,10,1,0.43994134506405985,6.451612903225806,0.8064516129032258,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.6095824321285693
X4699,missForest,MAR,10,1,0.0,0.0,1.0,1.0,1.0,1.0,
X4701,missForest,MAR,10,1,0.29488391230979427,8.695652173913043,0.9130434782608695,0.9130434782608695,1.0,0.9545454545454545,0.0
X4729,missForest,MAR,10,1,0.45374260648651504,20.588235294117645,0.7941176470588235,0.7083333333333334,1.0,0.8292682926829268,0.6454972243679028
X4730,missForest,MAR,10,1,0.3713906763541037,13.793103448275861,0.8620689655172413,1.0,0.8620689655172413,0.9259259259259259,
X4731,missForest,MAR,10,1,0.45643546458763845,12.5,0.7916666666666666,0.75,0.9230769230769231,0.8275862068965517,0.5913123959890826
X4732,missForest,MAR,10,1,0.4767312946227962,4.545454545454546,0.7727272727272727,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.15609763526361567
X4745,missForest,MAR,10,1,0.2581988897471611,2.2222222222222223,0.9333333333333333,0.9629629629629629,0.9285714285714286,0.9454545454545454,0.8607533668498878
X4752,missForest,MAR,10,1,0.4472135954999579,6.666666666666667,0.8,0.7894736842105263,0.8823529411764706,0.8333333333333333,0.5909278263416963
X4760,missForest,MAR,10,1,0.2773500981126146,0.0,0.9230769230769231,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.7523809523809524
X4762,missForest,MAR,10,1,0.5163977794943222,0.0,0.7333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.4444444444444444
X4764,missForest,MAR,10,1,0.5443310539518174,7.4074074074074066,0.7037037037037037,0.8421052631578947,0.7619047619047619,0.8,0.238455241619133
X4776,missForest,MAR,10,1,0.3492151478847891,7.317073170731707,0.8780487804878049,0.9,0.972972972972973,0.935064935064935,-0.05198752449100364
X4777,missForest,MAR,10,1,0.2581988897471611,6.666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9655172413793104,
X4780,missForest,MAR,10,1,0.16666666666666666,2.7777777777777777,0.9722222222222222,0.9722222222222222,1.0,0.9859154929577464,0.0
X4781,missForest,MAR,10,1,0.5345224838248488,9.523809523809524,0.7142857142857143,0.7777777777777778,0.875,0.823529411764706,0.09128709291752769
X4787,missForest,MAR,10,1,0.3651483716701107,6.666666666666667,0.8666666666666667,0.8333333333333334,0.625,0.7142857142857143,0.6407116072277477
X4794,missForest,MAR,10,1,0.4629100498862757,2.380952380952381,0.7857142857142857,0.8529411764705882,0.8787878787878788,0.8656716417910447,0.33776026473659926
X4808,missForest,MAR,10,1,0.3333333333333333,3.7037037037037033,0.8888888888888888,0.75,0.6,0.6666666666666665,0.6063726140217525
X4814,missForest,MAR,10,1,0.4225771273642583,3.571428571428571,0.8214285714285714,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.6213664431593422
