type,percent,iter,method,frobenius,avg_squared,mae,complete_data
MAR,10,1,GLRM,2.6370398673658118,0.24835640221702496,0.37765431507697395,False
MAR,10,2,GLRM,1.0208489377289098,0.0694755035774829,0.207065127977783,False
MAR,10,3,GLRM,0.7461319146124253,0.09278547233386726,0.2629586933094154,False
MAR,10,4,GLRM,0.1428571428571429,0.020408163265306135,0.1428571428571429,False
MAR,10,5,GLRM,0.0,,,False
MAR,10,6,GLRM,0.7376743746292337,0.18138782766154368,0.3723427320015434,False
MAR,10,7,GLRM,0.0,,,False
MAR,10,8,GLRM,0.5045853225687971,0.254606347751857,0.5045853225687971,False
MAR,10,9,GLRM,1.8132037054744536,0.21918051183641926,0.360214205764561,False
MAR,10,10,GLRM,1.012006788314352,0.17069295659905492,0.3325150281752723,False
MAR,20,1,GLRM,2.860812500950078,0.29229457734258,0.4354379562681256,False
MAR,20,2,GLRM,4.523891860172264,0.3721017738642339,0.5290756062586083,False
MAR,20,3,GLRM,0.20742073440654174,0.04302336106174913,0.20742073440654174,False
MAR,20,4,GLRM,2.050294396089947,0.20017652907799247,0.3696418078517646,False
MAR,20,5,GLRM,0.6103223015886832,0.06208221863608459,0.19867410765418195,False
MAR,20,6,GLRM,0.3670227124679514,0.1347056714673325,0.3670227124679514,False
MAR,20,7,GLRM,0.0,,,False
MAR,20,8,GLRM,4.175041077946551,0.31692669095529263,0.4175421313417822,False
MAR,20,9,GLRM,1.3568773455218732,0.08767219670430881,0.22611329520536871,False
MAR,20,10,GLRM,1.8650312263484883,0.2318894316836631,0.412790384666583,False
MAR,30,1,GLRM,0.0696197215797032,0.004846905632835391,0.0696197215797032,False
MAR,30,2,GLRM,6.050771571926299,0.5547247972065373,0.669729660197254,False
MAR,30,3,GLRM,0.0,,,False
MAR,30,4,GLRM,0.0,,,False
MAR,30,5,GLRM,0.0,,,False
MAR,30,6,GLRM,0.03752567359208821,0.0014081761785399462,0.03752567359208821,False
MAR,30,7,GLRM,2.91543283122147,0.40474993301733503,0.4747693358587427,False
MAR,30,8,GLRM,4.413439007641546,0.5410678853936667,0.6630111992917345,False
MAR,30,9,GLRM,0.0,,,False
MAR,30,10,GLRM,0.2388558598011705,0.05705212176135641,0.2388558598011705,False
MAR,40,1,GLRM,0.44053544712874904,0.03234524669615447,0.14364166619382115,False
MAR,40,2,GLRM,0.0,,,False
MAR,40,3,GLRM,0.0,,,False
MAR,40,4,GLRM,0.2566953099430577,0.06589248214676247,0.2566953099430577,False
MAR,40,5,GLRM,0.0,,,False
MAR,40,6,GLRM,0.0,,,False
MAR,40,7,GLRM,2.7303882249644,0.4970013239349499,0.598334598178948,False
MAR,40,8,GLRM,3.3148933624739803,0.5232627621225739,0.6283458883959822,False
MAR,40,9,GLRM,1.3052805200464517,0.17037572360127357,0.3033767822759027,False
MAR,40,10,GLRM,0.0,,,False
