type,percent,iter,method,frobenius,avg_squared,mae,complete_data
MAR,10,1,kNN,0.30044555342079154,0.0008596907673364354,0.017063289037794582,True
MAR,10,2,kNN,0.2391718642924277,0.0005447921968487186,0.013138365621095417,True
MAR,10,3,kNN,0.25091531325032146,0.0005996047087953044,0.014816851700788348,True
MAR,10,4,kNN,0.3225760470168378,0.0011434649022968037,0.02337263481983094,False
MAR,10,5,kNN,0.20973918590587123,0.0004189573914710249,0.012359444834305885,True
MAR,10,6,kNN,0.40276865987733335,0.0017826658613119013,0.02791105689547631,False
MAR,10,7,kNN,0.24675286783654146,0.0005798759789100733,0.013821574043248649,True
MAR,10,8,kNN,0.2579276011371329,0.0006335871183652946,0.014322526101162279,True
MAR,10,9,kNN,0.2923635409397856,0.0008140613340080924,0.019030814589137596,True
MAR,10,10,kNN,0.3272500831656683,0.001019929685066065,0.020255551353904236,True
MAR,20,1,kNN,0.3551028121268579,0.0012009334017181194,0.022774259835350537,True
MAR,20,2,kNN,0.3895911607212539,0.001445535928686989,0.02320203263153918,True
MAR,20,3,kNN,0.442951839288696,0.001868631732659417,0.02698750789808096,True
MAR,20,4,kNN,0.4674228135350121,0.002400924028714139,0.03410349976890154,False
MAR,20,5,kNN,0.45861910743660605,0.002003157006723326,0.029462493121457715,True
MAR,20,6,kNN,0.7693405754996135,0.006504229902308535,0.04347902663816103,False
MAR,20,7,kNN,0.5300348810080464,0.002675590238906799,0.032235727066584306,True
MAR,20,8,kNN,0.41757407555529424,0.0016606486531034153,0.024011651761531833,True
MAR,20,9,kNN,0.47827688628721776,0.00217855980911044,0.03286952823980322,True
MAR,20,10,kNN,0.46340495763552303,0.002045182426296961,0.030466408216977294,True
MAR,30,1,kNN,0.5243508863235551,0.0026185128760790265,0.03417465080551319,True
MAR,30,2,kNN,0.7295780110377535,0.005069372135140994,0.048022718019998474,True
MAR,30,3,kNN,0.6602911796730266,0.004152232780514258,0.04553835134744587,True
MAR,30,4,kNN,0.6605666347453498,0.0047950360322944665,0.050634091710049116,False
MAR,30,5,kNN,0.6040352870982482,0.003474844076760601,0.0393671893493771,True
MAR,30,6,kNN,0.863281380314147,0.008189612545023066,0.054954022271205875,False
MAR,30,7,kNN,0.6106470333518275,0.0035513314222989315,0.038742718668412356,True
MAR,30,8,kNN,0.5293988489291807,0.002669172773786109,0.035486365600312084,True
MAR,30,9,kNN,0.656833030931049,0.00474098495079196,0.051289030110087924,False
MAR,30,10,kNN,0.5370965960899892,0.0027473595574424086,0.033685444939576016,True
MAR,40,1,kNN,0.8247204400319519,0.007474327518752707,0.06371168374169162,False
MAR,40,2,kNN,0.8424437439771093,0.0067591567787254215,0.058673845554783575,True
MAR,40,3,kNN,0.887633675648803,0.007503748020436234,0.05776485770643254,True
MAR,40,4,kNN,0.7894741491061356,0.007990633744959702,0.0715058225887105,False
MAR,40,5,kNN,0.7832761758507052,0.006741995248959394,0.06212056014456119,False
MAR,40,6,kNN,1.0392036327319887,0.011867518574542442,0.07689120590016392,False
MAR,40,7,kNN,0.8181913331925755,0.0063755910258232774,0.058594465067811304,True
MAR,40,8,kNN,0.7875659973359549,0.005907240001521689,0.055160376776579874,True
MAR,40,9,kNN,0.775836364286986,0.006614528177473064,0.05489980710628537,False
MAR,40,10,kNN,0.73447350644591,0.005137631730199526,0.05006722500714938,True
MAR,50,1,kNN,0.9556998389711335,0.01003694705724671,0.074909545730173,False
MAR,50,2,kNN,0.9250788478676676,0.009404075546946935,0.07322115541959534,False
MAR,50,3,kNN,1.2092855073787563,0.01607001580611314,0.09172006027968292,False
MAR,50,4,kNN,0.9813871828876413,0.010583745085012534,0.07922290223999988,False
MAR,50,5,kNN,0.9485586768100702,0.009887511685183202,0.0803735181209989,False
MAR,50,6,kNN,0.9549320177391941,0.010020825917620314,0.07321045044124903,False
MAR,50,7,kNN,1.1160991242190441,0.013688761044862824,0.09437519973642862,False
MAR,50,8,kNN,1.0152493095483799,0.013214502058185409,0.09697985593675884,False
MAR,50,9,kNN,0.9362987290265569,0.008349098190254721,0.06501911515512357,True
MAR,50,10,kNN,1.0964684076556772,0.013211461197659083,0.07922449181827618,False
MAR,60,1,kNN,1.3212511610325837,0.022380828596537828,0.11187322319279329,False
MAR,60,2,kNN,0.8686479063689679,0.009673707503066554,0.07520374686379443,False
MAR,60,3,kNN,1.473831574435881,0.023870104503342288,0.10834195195725406,False
MAR,60,4,kNN,1.1149266567050622,0.013660015932214588,0.0840648092739434,False
MAR,60,5,kNN,1.12089916797491,0.013806757634800503,0.08468937875776457,False
MAR,60,6,kNN,1.002986502869448,0.011054746427893246,0.07507273091826384,False
MAR,60,7,kNN,1.037982744419547,0.013812925355291474,0.09100777382171098,False
MAR,60,8,kNN,1.3247012044149467,0.022497862576646287,0.12214526984149714,False
MAR,60,9,kNN,0.9387420915592491,0.008392730613952702,0.06586496647931708,True
MAR,60,10,kNN,1.1391404113754608,0.014259789855259938,0.08889639824092112,False
MAR,70,1,kNN,1.4233971604043056,0.025975121490346673,0.114719996762335,False
MAR,70,2,kNN,1.3974281924726981,0.025035968629711695,0.11172606201384018,False
MAR,70,3,kNN,1.8423160100701188,0.03729811297758991,0.14702154866623868,False
MAR,70,4,kNN,1.1692912103720654,0.015024636644542523,0.09615589933765148,False
MAR,70,5,kNN,1.363746421008227,0.020437409899041192,0.11065325753704539,False
MAR,70,6,kNN,1.3053422096567946,0.021845106209124145,0.10741515748644112,False
MAR,70,7,kNN,1.014374549132145,0.013191740075987722,0.09463651696974563,False
MAR,70,8,kNN,1.4008284183327828,0.029732125115283725,0.14579522517453206,False
MAR,70,9,kNN,1.2711282464181377,0.01775568152573681,0.09832562627048698,False
MAR,70,10,kNN,1.3191650648232585,0.022310211131412204,0.10055736371827322,False
MAR,80,1,kNN,1.6420417935156715,0.029629684084089704,0.1238943079031776,False
MAR,80,2,kNN,1.4154971022896294,0.03035806131197481,0.12901402947068785,False
MAR,80,3,kNN,1.9038561083081469,0.04647010360438772,0.1702884647938548,False
MAR,80,4,kNN,1.5987276901237613,0.02434219263969959,0.10752908167099204,True
MAR,80,5,kNN,1.9201192787913461,0.0472674108305923,0.17563661010994527,False
MAR,80,6,kNN,1.9628055781321332,0.042336326786226564,0.15605000212856376,False
MAR,80,7,kNN,1.5102123138327384,0.029240272216051705,0.119973316145333,False
MAR,80,8,kNN,1.556143814229771,0.03104594321237923,0.13855553555751687,False
MAR,80,9,kNN,1.5210855387653837,0.02966283610565612,0.13424837597307418,False
MAR,80,10,kNN,1.6528557526048355,0.041392911195740865,0.16390150268520784,False
MCAR,10,1,kNN,0.5626790139170386,0.0030153111685966745,0.031288877911204264,True
MCAR,10,2,kNN,0.5220970408551467,0.0025960506673304833,0.029564762562543884,True
MCAR,10,3,kNN,0.7089269925218462,0.004786452197391141,0.0317748539873661,True
MCAR,10,4,kNN,0.40227710431407,0.0015412082729077442,0.021860632091777833,True
MCAR,10,5,kNN,0.26779218046386233,0.0006829776373103791,0.016990281408562315,True
MCAR,10,6,kNN,0.5893612945309872,0.003308064147535628,0.03130414338459454,True
MCAR,10,7,kNN,0.38600151104781794,0.0014190206336304639,0.022370746135670243,True
MCAR,10,8,kNN,0.6962102378956352,0.004616273289054257,0.030549785439574585,True
MCAR,10,9,kNN,0.7198927524940231,0.004935672143746864,0.03038360656238418,True
MCAR,10,10,kNN,0.36999956617810337,0.0013038064663998543,0.018603341972401034,True
MCAR,20,1,kNN,0.6707472483639549,0.004284779725598258,0.042920534562238974,True
MCAR,20,2,kNN,0.7581957798443458,0.005474865148321673,0.04820440556804494,True
MCAR,20,3,kNN,0.8595007016542776,0.007035632915659006,0.04741053941627619,True
MCAR,20,4,kNN,0.48718655322806953,0.0022604832156785395,0.031187482785475635,True
MCAR,20,5,kNN,0.49332527524559083,0.0023178078780584565,0.03268594439230281,True
MCAR,20,6,kNN,0.803129424490198,0.007088097499801721,0.05071093348611858,False
MCAR,20,7,kNN,0.5374984066510404,0.003174775133542937,0.03849711951312207,False
MCAR,20,8,kNN,0.7927304132482476,0.00598496674370226,0.03817149482722659,True
MCAR,20,9,kNN,0.7898272586579527,0.005941210462087013,0.04232263333524228,True
MCAR,20,10,kNN,0.6237025041949827,0.004274778172957061,0.04508001238441494,False
MCAR,30,1,kNN,0.7591855823409253,0.0054891690327079036,0.04872371783390679,True
MCAR,30,2,kNN,1.0825162146856355,0.011160393857688734,0.06553908872464023,True
MCAR,30,3,kNN,0.9342721947463885,0.008312995560726033,0.05475593688550248,True
MCAR,30,4,kNN,0.7083001572754504,0.004777991550442169,0.04978827183840911,True
MCAR,30,5,kNN,0.6171197151880893,0.004185019152459652,0.047851843109846755,False
MCAR,30,6,kNN,0.860020647533524,0.00812786279323057,0.05583419325041085,False
MCAR,30,7,kNN,0.8888723917355942,0.007524705988473863,0.04679386065950831,True
MCAR,30,8,kNN,0.8212559817794879,0.006423441786748482,0.04610274650222744,True
MCAR,30,9,kNN,0.9778562938452973,0.009106694584884384,0.059122531039459705,True
MCAR,30,10,kNN,0.8657214862722257,0.008235974635092213,0.06029156688360906,False
MCAR,40,1,kNN,1.034238681682716,0.010187139530369545,0.07063081896877786,True
MCAR,40,2,kNN,1.166340322320949,0.01295571188068319,0.07488741676006097,True
MCAR,40,3,kNN,0.6961114212507377,0.005324957261491449,0.05109193997383314,False
MCAR,40,4,kNN,0.8971204009289616,0.007665000131075627,0.0601424137733865,True
MCAR,40,5,kNN,0.7935431596496428,0.006919898310183941,0.06124137688341554,False
MCAR,40,6,kNN,0.9448932498920692,0.0098112445460615,0.06973521413852861,False
MCAR,40,7,kNN,1.029870370463475,0.010101266475795956,0.06078213115177354,True
MCAR,40,8,kNN,0.980654877325213,0.009158895127825984,0.06275414789430932,True
MCAR,40,9,kNN,0.9882957419280831,0.009302175938220764,0.06112815036766146,True
MCAR,40,10,kNN,1.1021719413028714,0.0133492636065422,0.07732553522403168,False
MCAR,50,1,kNN,1.2968086760843913,0.01601631183207383,0.0871355189536213,True
MCAR,50,2,kNN,0.9593523724903725,0.011799448392344954,0.08090693777227542,False
MCAR,50,3,kNN,0.8931648181752785,0.00876641090578108,0.06684911706869817,False
MCAR,50,4,kNN,1.2463506452284083,0.014794189817726379,0.0788328606667267,True
MCAR,50,5,kNN,1.038455525315165,0.011850438220413139,0.07754137162389468,False
MCAR,50,6,kNN,1.2203618412318986,0.016365747511372635,0.08610844506356027,False
MCAR,50,7,kNN,1.2595700095510238,0.015109681990098725,0.07756414602083357,True
MCAR,50,8,kNN,1.1119699914144932,0.011775973921965222,0.06981196743558019,True
MCAR,50,9,kNN,1.1202760800126015,0.013791412037894513,0.07928810375023455,False
MCAR,50,10,kNN,1.2912601427139794,0.0213763173866888,0.10168950741034145,False
MCAR,60,1,kNN,1.3939180035014438,0.018504832385575726,0.09188566148485539,True
MCAR,60,2,kNN,0.9660443298474678,0.011964636502954401,0.08089297665553132,False
MCAR,60,3,kNN,0.9831947725068865,0.01239323026519062,0.08486159284122034,False
MCAR,60,4,kNN,1.3645845779668722,0.017734200670714538,0.08799450523526153,True
MCAR,60,5,kNN,0.9655959348473077,0.014126901657479487,0.08938330921117191,False
MCAR,60,6,kNN,1.3813275816936943,0.02096775701041483,0.1024981249663686,False
MCAR,60,7,kNN,1.3986664671125482,0.018631122725953304,0.08952119221021021,True
MCAR,60,8,kNN,1.217108397748986,0.01627860276781433,0.08402807821243216,False
MCAR,60,9,kNN,1.1856730405987648,0.015448577573656266,0.08513033461569416,False
MCAR,60,10,kNN,1.393537371548073,0.024896748793604,0.11108631210825923,False
MCAR,70,1,kNN,1.5251381798292516,0.025560950193108598,0.11922454203711076,False
MCAR,70,2,kNN,1.14966861252361,0.0169453579310508,0.09277808584437157,False
MCAR,70,3,kNN,1.3428902383182555,0.02311992554064694,0.11152112822224557,False
MCAR,70,4,kNN,1.175030800901928,0.017701248500874695,0.09654587139057964,False
MCAR,70,5,kNN,1.5693467632730296,0.03731589793023537,0.13208032311863768,False
MCAR,70,6,kNN,1.488632535416528,0.024351943137369672,0.11071086019774247,False
MCAR,70,7,kNN,1.4772982969388622,0.020784859601318692,0.10128383133370741,True
MCAR,70,8,kNN,1.154396455071688,0.017085015070283077,0.09783341261243206,False
MCAR,70,9,kNN,1.7813079142764272,0.03486876797213006,0.12817025541069466,False
MCAR,70,10,kNN,1.3897608581243681,0.024761990291981794,0.11319177876660423,False
MCAR,80,1,kNN,1.8107156319959348,0.036029572526971844,0.13332718367700777,False
MCAR,80,2,kNN,1.5641480385570647,0.031366142134896316,0.12088841932681585,False
MCAR,80,3,kNN,1.5759488498815606,0.037630526930954755,0.1502588746378208,False
MCAR,80,4,kNN,1.6428082676043103,0.040891197031955685,0.15089366068711998,False
MCAR,80,5,kNN,1.9377019905431092,0.06826707280281323,0.18813306778115554,False
MCAR,80,6,kNN,1.811976658453548,0.04209306936898058,0.1360489724649185,False
MCAR,80,7,kNN,1.9964639255447205,0.037960649580966045,0.13681989540568212,True
MCAR,80,8,kNN,1.901117803058489,0.046336524373153026,0.15267304632168294,False
MCAR,80,9,kNN,2.2114186278989387,0.05374035547053213,0.15730188231121664,False
MCAR,80,10,kNN,1.6532697666077176,0.041413650320896014,0.14617737708449569,False
MNAR,10,1,kNN,0.2635065649811557,0.000661292474173029,0.012738195368887746,True
MNAR,10,2,kNN,0.3151322022226142,0.000945793379787377,0.017293821827483718,True
MNAR,10,3,kNN,0.24271156037581373,0.0005610371575244026,0.012874743982392634,True
