Type,Percent,Iter,Method,Frobenius Norm,Squared Difference,MAE,complete_data
MAR,10,1,missForest,0.26410301463795843,0.0010568242778917832,0.0243325285866332,True
MAR,10,1,mice,0.2927354348925169,0.0012983944672986514,0.02829317684919133,True
MAR,10,1,miceCART,0.29131345188341706,0.0012858110189126052,0.02713623190807251,True
MAR,10,1,micePMM,0.2609948324654858,0.0010320954935407122,0.025899062209974514,True
MAR,10,1,miceRF,0.26000452638308746,0.001024278086965055,0.023845116095991645,True
MAR,10,1,miceSample,0.35689405836674154,0.0019298995287497444,0.03369458076590287,True
MAR,10,1,mode,0.2572457358915277,0.0010026571005208125,0.024627496788646775,True
MAR,10,2,missForest,0.27230563241339273,0.0011234902643039054,0.026848046439891145,True
MAR,10,2,mice,0.2746587214314261,0.0011429911099749355,0.02789087116951674,True
MAR,10,2,miceCART,0.19203665509874399,0.0005587587409320295,0.01873734355142205,True
MAR,10,2,micePMM,0.3179740322356938,0.0015319315935791826,0.030964275473080245,True
MAR,10,2,miceRF,0.2192903627006155,0.0007286100480813257,0.02084636198550913,True
MAR,10,2,miceSample,0.2933953987954367,0.0013042554550656566,0.02696330753395662,True
MAR,10,2,mode,0.29358692683051973,0.0013059588425119537,0.02990794618761755,True
MAR,10,3,missForest,0.27727476989514965,0.0011648681518243666,0.02602313216165241,True
MAR,10,3,mice,0.34315993237173614,0.0017842233209905232,0.032809747582127166,True
MAR,10,3,miceCART,0.24755743666374028,0.0009285558249624513,0.025305014050410746,True
MAR,10,3,micePMM,0.3193244650938218,0.0015449714243553853,0.03066642886851771,True
MAR,10,3,miceRF,0.2499974678048964,0.0009469505137706093,0.023883404183435212,True
MAR,10,3,miceSample,0.3173206153223064,0.0015256420137655625,0.0307164980168461,True
MAR,10,3,mode,0.30492003818770674,0.0014087307528544324,0.0296536233836603,True
MAR,10,4,missForest,0.21411172428423703,0.0006946034920601384,0.01889011511045447,True
MAR,10,4,mice,0.32184061543991793,0.0015694148749506838,0.031750890888538975,True
MAR,10,4,miceCART,0.2238255537816847,0.0007590587655405733,0.02137154326018818,True
MAR,10,4,micePMM,0.22350498605325753,0.0007568860422828309,0.021039416300121783,True
MAR,10,4,miceRF,0.21497257461467204,0.0007002001187342535,0.019987683540489187,True
MAR,10,4,miceSample,0.3552324451262634,0.0019119710616724809,0.03496993599057182,True
MAR,10,4,mode,0.29712797310169187,0.0013376520060533292,0.02891995796352175,True
MAR,10,5,missForest,0.20889165127889578,0.0006611473026367242,0.018068739442022023,True
MAR,10,5,mice,0.40262231199374077,0.0024561322138664417,0.037567927081844615,True
MAR,10,5,miceCART,0.23793532171513293,0.0008577760199952092,0.022211973080521412,True
MAR,10,5,micePMM,0.2637968811770428,0.0010543756745262857,0.023181557304741623,True
MAR,10,5,miceRF,0.2570928825977213,0.0010014659133697832,0.02308327900943297,True
MAR,10,5,miceSample,0.3505854181534856,0.0018622747791190051,0.03363887103184714,True
MAR,10,5,mode,0.2739807461225967,0.0011373552916044663,0.026148863329692993,True
MAR,10,6,missForest,0.23806985044097095,0.0008587462680149435,0.020963754442268608,True
