Question,Method,Type,Percent,Iter,RMSE,Mean Percent Bias,Accuracy,Precision,Recall,F1 score,Matthews Correlation
X5226,mice,MAR,10,9,0.565685424949238,0.0,0.68,0.75,0.75,0.75,0.3055555555555556
X4654,mice,MAR,10,10,0.18569533817705186,3.4482758620689653,0.9655172413793104,1.0,0.9655172413793104,0.9824561403508771,
X4676,mice,MAR,10,10,0.672021505032247,6.451612903225806,0.5483870967741935,0.6190476190476191,0.6842105263157895,0.6500000000000001,0.018280283236902728
X4729,mice,MAR,10,10,0.5773502691896257,14.285714285714285,0.6666666666666666,0.8666666666666667,0.7222222222222222,0.7878787878787877,0.04303314829119353
X4745,mice,MAR,10,10,0.47519096331149147,9.67741935483871,0.7741935483870968,0.7916666666666666,0.9047619047619048,0.8444444444444444,0.45253756687495744
X4776,mice,MAR,10,10,0.3592106040535498,12.903225806451612,0.8709677419354839,1.0,0.8709677419354839,0.9310344827586207,
X4780,mice,MAR,10,10,0.408248290463863,16.666666666666664,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,
X4794,mice,MAR,10,10,0.6432675209026769,13.793103448275861,0.5862068965517241,0.6521739130434783,0.7894736842105263,0.7142857142857143,-0.012351327916330295
X4821,mice,MAR,10,10,0.5956833971812706,22.58064516129032,0.6451612903225806,0.9047619047619048,0.6785714285714286,0.7755102040816326,0.007529232524210427
X4827,mice,MAR,10,10,0.29488391230979427,8.695652173913043,0.9130434782608695,1.0,0.9130434782608695,0.9545454545454545,
X4828,mice,MAR,10,10,0.531609533071195,6.521739130434782,0.717391304347826,0.84375,0.7714285714285715,0.8059701492537314,0.2937585115018412
X4954,mice,MAR,10,10,0.5547001962252291,15.384615384615385,0.6923076923076923,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.052193886700168265
X5132,mice,MAR,10,10,0.2581988897471611,6.666666666666667,0.9333333333333333,0.3333333333333333,1.0,0.5,0.5570860145311556
X5196,mice,MAR,10,10,0.6504436355879909,11.538461538461538,0.5769230769230769,0.0,0.0,0.0,-0.2588158533262875
X5220,mice,MAR,10,10,0.609449400220044,2.857142857142857,0.6285714285714286,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.15929859710332203
X5226,mice,MAR,10,10,0.6158817620514397,24.137931034482758,0.6206896551724138,0.875,0.6086956521739131,0.717948717948718,0.22429127820869568
X4654,mice,MAR,20,1,0.4242640687119285,14.000000000000002,0.82,0.9761904761904762,0.8367346938775511,0.9010989010989012,-0.06234796863885496
X4676,mice,MAR,20,1,0.5966005392134929,11.864406779661017,0.6440677966101694,0.7878787878787878,0.65,0.7123287671232875,0.26501065364704873
X4729,mice,MAR,20,1,0.5720775535473553,10.909090909090908,0.6727272727272727,0.8378378378378378,0.7209302325581395,0.7749999999999999,0.19446564389139784
X4745,mice,MAR,20,1,0.6255432421712243,8.695652173913043,0.6086956521739131,0.7666666666666667,0.6764705882352942,0.71875,0.08586830621988474
X4776,mice,MAR,20,1,0.4330127018922193,12.5,0.8125,0.9629629629629629,0.8387096774193549,0.896551724137931,-0.07728981596002805
X4780,mice,MAR,20,1,0.2208630521496931,0.0,0.9512195121951219,0.975,0.975,0.975,-0.025
X4794,mice,MAR,20,1,0.5601120336112039,3.9215686274509802,0.6862745098039216,0.75,0.7941176470588235,0.7714285714285715,0.27386127875258304
X4821,mice,MAR,20,1,0.6432675209026769,10.344827586206897,0.5862068965517241,0.7567567567567568,0.6511627906976745,0.7000000000000001,0.04661477294440022
X4827,mice,MAR,20,1,0.3682298471593293,13.559322033898304,0.864406779661017,1.0,0.864406779661017,0.9272727272727274,
X4828,mice,MAR,20,1,0.6684373647831918,23.404255319148938,0.5531914893617021,0.8148148148148148,0.5789473684210527,0.6769230769230768,0.01861572925740869
X4954,mice,MAR,20,1,0.44320263021395917,1.7857142857142856,0.8035714285714286,0.88,0.8979591836734694,0.888888888888889,0.04364357804719848
X5132,mice,MAR,20,1,0.2857142857142857,4.081632653061225,0.9183673469387755,0.0,0.0,0.0,-0.036860489038724284
X5196,mice,MAR,20,1,0.4662524041201569,8.695652173913043,0.782608695652174,0.4,0.2222222222222222,0.2857142857142857,0.1798865988803764
X5220,mice,MAR,20,1,0.5951190357119042,6.25,0.6458333333333334,0.2857142857142857,0.36363636363636365,0.32,0.08633420926197104
X5226,mice,MAR,20,1,0.644278153923165,18.867924528301888,0.5849056603773585,0.8064516129032258,0.6097560975609756,0.6944444444444445,0.09322212986212193
X4654,mice,MAR,20,2,0.4385290096535146,19.230769230769234,0.8076923076923077,1.0,0.8076923076923077,0.8936170212765957,
X4676,mice,MAR,20,2,0.6354889093022426,5.769230769230769,0.5961538461538461,0.6470588235294118,0.7096774193548387,0.6769230769230768,0.14258580900753562
X4729,mice,MAR,20,2,0.5367826312580717,8.47457627118644,0.711864406779661,0.8571428571428571,0.7659574468085106,0.8089887640449439,0.23637557656210012
X4745,mice,MAR,20,2,0.4886777774252209,0.0,0.7611940298507462,0.84,0.84,0.8399999999999999,0.36941176470588233
X4776,mice,MAR,20,2,0.4330127018922193,12.5,0.8125,0.9629629629629629,0.8387096774193549,0.896551724137931,-0.07728981596002805
X4780,mice,MAR,20,2,0.4509876168016973,20.33898305084746,0.7966101694915254,1.0,0.7931034482758621,0.8846153846153846,0.24699788978791237
X4794,mice,MAR,20,2,0.5956833971812706,0.0,0.6451612903225806,0.7659574468085106,0.7659574468085106,0.7659574468085105,0.032624113475177303
X4821,mice,MAR,20,2,0.6142951168339512,3.7735849056603774,0.6226415094339622,0.725,0.7631578947368421,0.7435897435897436,0.031225530230752415
X4827,mice,MAR,20,2,0.3960590171906697,15.686274509803921,0.8431372549019608,1.0,0.8431372549019608,0.9148936170212766,
X4828,mice,MAR,20,2,0.6358107573397419,21.27659574468085,0.5957446808510638,0.8448275862068966,0.6282051282051282,0.7205882352941176,0.05079737994052533
X4954,mice,MAR,20,2,0.4743416490252569,7.5,0.775,0.9032258064516129,0.8235294117647058,0.8615384615384616,0.2766475001553213
X5132,mice,MAR,20,2,0.40406101782088427,8.16326530612245,0.8367346938775511,0.14285714285714285,0.3333333333333333,0.2,0.13900960937138315
X5196,mice,MAR,20,2,0.5477225575051661,0.0,0.7,0.18181818181818182,0.18181818181818182,0.18181818181818182,-0.0018552875695732839
X5220,mice,MAR,20,2,0.5674803065350239,8.47457627118644,0.6779661016949152,0.5333333333333333,0.4,0.4571428571428572,0.239722709535366
X5226,mice,MAR,20,2,0.6142951168339512,0.0,0.6226415094339622,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.17956656346749225
X4654,mice,MAR,20,3,0.2961744388795462,8.771929824561402,0.9122807017543859,1.0,0.9122807017543859,0.9541284403669724,
X4676,mice,MAR,20,3,0.6436503043467892,21.428571428571427,0.5857142857142857,0.8055555555555556,0.5686274509803921,0.6666666666666667,0.17813494847730257
X4729,mice,MAR,20,3,0.6158817620514397,20.689655172413794,0.6206896551724138,0.8529411764705882,0.6304347826086957,0.725,0.17581964104698725
X4745,mice,MAR,20,3,0.6382847385042254,14.814814814814813,0.5925925925925926,0.7741935483870968,0.6153846153846154,0.6857142857142857,0.13470898214898314
X4776,mice,MAR,20,3,0.508000508000762,22.58064516129032,0.7419354838709677,0.9787234042553191,0.7540983606557377,0.8518518518518519,-0.07233221808628695
X4780,mice,MAR,20,3,0.45069390943299864,7.8125,0.796875,0.9272727272727272,0.85,0.8869565217391303,-0.1044465935734187
X4794,mice,MAR,20,3,0.5710402407201608,2.1739130434782608,0.6739130434782609,0.7777777777777778,0.8,0.7887323943661971,0.0752101433090355
X4821,mice,MAR,20,3,0.5872202195147035,3.4482758620689653,0.6551724137931034,0.8,0.7659574468085106,0.7826086956521738,-0.049095372509483655
X4827,mice,MAR,20,3,0.43133109281375365,18.6046511627907,0.813953488372093,1.0,0.813953488372093,0.8974358974358974,
X4828,mice,MAR,20,3,0.6376467725891872,25.274725274725274,0.5934065934065934,0.8653846153846154,0.6,0.7086614173228346,0.125
X4954,mice,MAR,20,3,0.464420364012824,9.803921568627452,0.7843137254901961,0.926829268292683,0.8260869565217391,0.8735632183908046,0.1693352983467174
X5132,mice,MAR,20,3,0.5705974021574557,18.6046511627907,0.6744186046511628,0.08333333333333333,0.25,0.125,-0.020755645057779912
X5196,mice,MAR,20,3,0.6354889093022426,9.615384615384617,0.5961538461538461,0.0,0.0,0.0,-0.24618298195866548
X5220,mice,MAR,20,3,0.6513389472789296,6.0606060606060606,0.5757575757575758,0.23809523809523808,0.29411764705882354,0.2631578947368421,-0.030431640107002556
X5226,mice,MAR,20,3,0.5872202195147035,17.24137931034483,0.6551724137931034,0.8648648648648649,0.6808510638297872,0.7619047619047619,0.18459931315509262
X4654,mice,MAR,20,4,0.4385290096535146,19.230769230769234,0.8076923076923077,1.0,0.8076923076923077,0.8936170212765957,
X4676,mice,MAR,20,4,0.5393598899705937,0.0,0.7090909090909091,0.7575757575757576,0.7575757575757576,0.7575757575757576,0.3939393939393939
X4729,mice,MAR,20,4,0.6454972243679028,12.5,0.5833333333333334,0.7666666666666667,0.6388888888888888,0.696969696969697,0.049690399499995326
X4745,mice,MAR,20,4,0.5877538136452587,9.090909090909092,0.6545454545454545,0.7941176470588235,0.6923076923076923,0.7397260273972601,0.23820766037950522
X4776,mice,MAR,20,4,0.31622776601683794,3.3333333333333335,0.9,0.9636363636363636,0.9298245614035088,0.9464285714285715,0.2075143391598224
X4780,mice,MAR,20,4,0.3813850356982369,14.545454545454545,0.8545454545454545,1.0,0.8545454545454545,0.9215686274509803,
X4794,mice,MAR,20,4,0.6526300069150406,5.555555555555555,0.5740740740740741,0.7297297297297297,0.675,0.7012987012987014,-0.037068357648660684
