Question,Method,Type,Percent,Iter,RMSE,Mean Percent Bias,Accuracy,Precision,Recall,F1 score,Matthews Correlation
X4654,mice,MAR,10,1,0.3872983346207417,15.0,0.85,1.0,0.85,0.9189189189189189,
X4676,mice,MAR,10,1,0.7071067811865476,18.421052631578945,0.5,0.6842105263157895,0.5,0.5777777777777778,0.0
X4729,mice,MAR,10,1,0.5188745216627708,3.8461538461538463,0.7307692307692307,0.8333333333333334,0.7894736842105263,0.8108108108108109,0.34684398780964804
X4745,mice,MAR,10,1,0.6396021490668313,4.545454545454546,0.5909090909090909,0.75,0.7058823529411765,0.7272727272727272,-0.08856148855400953
X4776,mice,MAR,10,1,0.3779644730092272,4.761904761904762,0.8571428571428571,0.9473684210526315,0.9,0.9230769230769231,-0.07254762501100116
X4780,mice,MAR,10,1,0.3611575592573076,13.043478260869565,0.8695652173913043,1.0,0.8695652173913043,0.9302325581395349,
X4794,mice,MAR,10,1,0.5107539184552492,8.695652173913043,0.7391304347826086,0.7777777777777778,0.875,0.823529411764706,0.3386481059780782
X4821,mice,MAR,10,1,0.5773502691896257,8.333333333333332,0.6666666666666666,0.75,0.8333333333333334,0.7894736842105262,0.0
X4827,mice,MAR,10,1,0.3922322702763681,15.384615384615385,0.8461538461538461,1.0,0.8461538461538461,0.9166666666666666,
X4828,mice,MAR,10,1,0.5374838498865699,15.555555555555555,0.7111111111111111,0.9,0.7297297297297297,0.8059701492537312,0.28769822778437526
X4954,mice,MAR,10,1,0.5163977794943222,13.333333333333334,0.7333333333333333,0.7777777777777778,0.9130434782608695,0.84,0.07881104062391008
X5132,mice,MAR,10,1,0.2672612419124244,7.142857142857142,0.9285714285714286,,,,
X5196,mice,MAR,10,1,0.6324555320336759,40.0,0.6,0.2727272727272727,1.0,0.42857142857142855,0.3799802978286742
X5220,mice,MAR,10,1,0.5547001962252291,15.384615384615385,0.6923076923076923,0.6666666666666666,0.4,0.5,0.31754264805429416
X5226,mice,MAR,10,1,0.6324555320336759,24.0,0.6,0.875,0.6363636363636364,0.7368421052631579,-0.020515248496555453
X4654,mice,MAR,10,2,0.3535533905932738,12.5,0.875,1.0,0.875,0.9333333333333333,
X4676,mice,MAR,10,2,0.5872202195147035,6.896551724137931,0.6551724137931034,0.7647058823529411,0.6842105263157895,0.7222222222222222,0.2742848850053806
X4729,mice,MAR,10,2,0.5091750772173156,3.7037037037037033,0.7407407407407407,0.8571428571428571,0.8181818181818182,0.8372093023255814,0.20385887657505022
X4745,mice,MAR,10,2,0.5477225575051661,10.0,0.7,0.8571428571428571,0.75,0.7999999999999999,0.21821789023599236
X4776,mice,MAR,10,2,0.1889822365046136,3.571428571428571,0.9642857142857143,1.0,0.9629629629629629,0.9811320754716981,0.693888666488711
X4780,mice,MAR,10,2,0.3592106040535498,6.451612903225806,0.8709677419354839,0.9642857142857143,0.9,0.9310344827586207,-0.05976143046671969
X4794,mice,MAR,10,2,0.5976143046671968,7.142857142857142,0.6428571428571429,0.7272727272727273,0.8,0.761904761904762,0.055048188256318034
X4821,mice,MAR,10,2,0.4803844614152614,15.384615384615385,0.7692307692307693,0.7916666666666666,0.95,0.8636363636363635,0.18446619684315546
X4827,mice,MAR,10,2,0.3872983346207417,15.0,0.85,1.0,0.85,0.9189189189189189,
X4828,mice,MAR,10,2,0.618852747755276,12.76595744680851,0.6170212765957447,0.8064516129032258,0.6756756756756757,0.7352941176470588,0.06536064526481745
X4954,mice,MAR,10,2,0.674199862463242,0.0,0.5454545454545454,0.7058823529411765,0.7058823529411765,0.7058823529411765,-0.29411764705882354
X5132,mice,MAR,10,2,0.4714045207910317,22.22222222222222,0.7777777777777778,0.25,1.0,0.4,0.43588989435406733
X5196,mice,MAR,10,2,0.5,3.571428571428571,0.75,0.2,0.25,0.22222222222222224,0.0761386987626881
X5220,mice,MAR,10,2,0.67700320038633,12.5,0.5416666666666666,0.125,0.2,0.15384615384615385,-0.14509525002200233
X5226,mice,MAR,10,2,0.6085806194501846,7.4074074074074066,0.6296296296296297,0.7647058823529411,0.6842105263157895,0.7222222222222222,0.17418541062770382
X4654,mice,MAR,10,3,0.3651483716701107,13.333333333333334,0.8666666666666667,1.0,0.8666666666666667,0.9285714285714286,
X4676,mice,MAR,10,3,0.6276459144608478,3.0303030303030303,0.6060606060606061,0.72,0.75,0.7346938775510204,-0.028867513459481287
X4729,mice,MAR,10,3,0.5669467095138409,3.571428571428571,0.6785714285714286,0.8095238095238095,0.7727272727272727,0.7906976744186046,0.10050378152592121
X4745,mice,MAR,10,3,0.6666666666666666,14.814814814814813,0.5555555555555556,0.75,0.6,0.6666666666666665,0.025482359571881278
X4776,mice,MAR,10,3,0.3396831102433787,11.538461538461538,0.8846153846153846,1.0,0.8846153846153846,0.9387755102040816,
X4780,mice,MAR,10,3,0.4225771273642583,3.571428571428571,0.8214285714285714,0.92,0.8846153846153846,0.9019607843137256,-0.09607689228305229
X4794,mice,MAR,10,3,0.5570860145311556,3.4482758620689653,0.6896551724137931,0.7916666666666666,0.8260869565217391,0.8085106382978724,-0.007770873402002615
X4821,mice,MAR,10,3,0.6085806194501846,7.4074074074074066,0.6296296296296297,0.7272727272727273,0.8,0.761904761904762,-0.06446583712203043
X4827,mice,MAR,10,3,0.39735970711951313,15.789473684210526,0.8421052631578947,1.0,0.8421052631578947,0.9142857142857143,
X4828,mice,MAR,10,3,0.6164414002968976,14.000000000000002,0.62,0.8181818181818182,0.675,0.7397260273972603,0.06333004963811235
X4954,mice,MAR,10,3,0.45374260648651504,2.941176470588235,0.7941176470588235,0.8666666666666667,0.896551724137931,0.8813559322033899,0.10613372610104649
X5132,mice,MAR,10,3,0.4472135954999579,6.666666666666667,0.8,0.0,0.0,0.0,-0.10482848367219183
X5196,mice,MAR,10,3,0.5222329678670935,9.090909090909092,0.7272727272727273,0.3333333333333333,0.2,0.25,0.1005659937148103
X5220,mice,MAR,10,3,0.5872202195147035,6.896551724137931,0.6551724137931034,0.4,0.5,0.4444444444444445,0.20149814827784027
X5226,mice,MAR,10,3,0.5773502691896257,27.27272727272727,0.6666666666666666,0.9473684210526315,0.6428571428571429,0.7659574468085106,0.32128233933443373
X4654,mice,MAR,10,4,0.3651483716701107,13.333333333333334,0.8666666666666667,1.0,0.8666666666666667,0.9285714285714286,
X4676,mice,MAR,10,4,0.5252257314388902,6.896551724137931,0.7241379310344828,0.8235294117647058,0.7368421052631579,0.7777777777777778,0.42158602695271463
X4729,mice,MAR,10,4,0.6,20.0,0.64,0.8461538461538461,0.6111111111111112,0.7096774193548387,0.2924396698824572
X4745,mice,MAR,10,4,0.5883484054145521,3.8461538461538463,0.6538461538461539,0.8,0.7619047619047619,0.7804878048780488,-0.035634832254989916
X4776,mice,MAR,10,4,0.5144957554275266,14.705882352941178,0.7352941176470589,0.9259259259259259,0.78125,0.847457627118644,-0.1272937693043289
X4780,mice,MAR,10,4,0.3592106040535498,12.903225806451612,0.8709677419354839,1.0,0.8709677419354839,0.9310344827586207,
X4794,mice,MAR,10,4,0.6172133998483676,0.0,0.6190476190476191,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.06666666666666667
X4821,mice,MAR,10,4,0.5400617248673217,12.5,0.7083333333333334,0.8823529411764706,0.75,0.8108108108108107,0.20498001542269695
X4827,mice,MAR,10,4,0.29488391230979427,8.695652173913043,0.9130434782608695,1.0,0.9130434782608695,0.9545454545454545,
X4828,mice,MAR,10,4,0.5951190357119042,6.25,0.6458333333333334,0.8055555555555556,0.7435897435897436,0.7733333333333334,-0.030816677568068288
X4954,mice,MAR,10,4,0.5388159060803247,16.129032258064516,0.7096774193548387,0.9130434782608695,0.75,0.8235294117647057,0.05630532705768135
X5132,mice,MAR,10,4,0.4879500364742666,14.285714285714285,0.7619047619047619,0.0,0.0,0.0,-0.10846522890932808
X5196,mice,MAR,10,4,0.5091750772173156,11.11111111111111,0.7407407407407407,0.0,0.0,0.0,-0.13483997249264842
X5220,mice,MAR,10,4,0.31622776601683794,0.0,0.9,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7802197802197802
X5226,mice,MAR,10,4,0.5897678246195885,8.695652173913043,0.6521739130434783,0.7692307692307693,0.6666666666666666,0.7142857142857142,0.2802242691589025
X4654,mice,MAR,10,5,0.1796053020267749,3.225806451612903,0.967741935483871,1.0,0.967741935483871,0.9836065573770492,
X4676,mice,MAR,10,5,0.5547001962252291,15.384615384615385,0.6923076923076923,0.8461538461538461,0.6470588235294118,0.7333333333333334,0.40422604172722165
X4729,mice,MAR,10,5,0.5619514869490163,31.57894736842105,0.6842105263157895,1.0,0.6666666666666666,0.8,0.3086066999241838
X4745,mice,MAR,10,5,0.6324555320336759,20.0,0.6,0.85,0.6538461538461539,0.7391304347826088,-0.06933752452815364
X4776,mice,MAR,10,5,0.4803844614152614,7.6923076923076925,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.8695652173913043,-0.12309149097933272
X4780,mice,MAR,10,5,0.34641016151377546,12.0,0.88,1.0,0.88,0.9361702127659575,
X4794,mice,MAR,10,5,0.5872202195147035,13.793103448275861,0.6551724137931034,0.8421052631578947,0.6956521739130435,0.761904761904762,0.166742926870459
X4821,mice,MAR,10,5,0.6432675209026769,13.793103448275861,0.5862068965517241,0.6666666666666666,0.8,0.7272727272727272,-0.10886621079036346
X4827,mice,MAR,10,5,0.3713906763541037,13.793103448275861,0.8620689655172413,1.0,0.8620689655172413,0.9259259259259259,
X4828,mice,MAR,10,5,0.5877538136452587,20.0,0.6545454545454545,0.8709677419354839,0.6428571428571429,0.7397260273972603,0.28712320993203105
X4954,mice,MAR,10,5,0.5252257314388902,0.0,0.7241379310344828,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.03333333333333333
X5132,mice,MAR,10,5,0.4714045207910317,0.0,0.7777777777777778,0.0,0.0,0.0,-0.125
X5196,mice,MAR,10,5,0.6236095644623235,16.666666666666664,0.6111111111111112,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.0
X5220,mice,MAR,10,5,0.6695340634119862,24.137931034482758,0.5517241379310345,0.375,0.6666666666666666,0.4800000000000001,0.15504341823651058
X5226,mice,MAR,10,5,0.5400617248673217,4.166666666666666,0.7083333333333334,0.7692307692307693,0.7142857142857143,0.7407407407407408,0.40991702578932737
X4654,mice,MAR,10,6,0.45883146774112354,10.526315789473683,0.7894736842105263,0.9375,0.8333333333333334,0.8823529411764706,-0.10206207261596575
X4676,mice,MAR,10,6,0.7211102550927979,4.0,0.48,0.6,0.5625,0.5806451612903225,-0.10206207261596574
X4729,mice,MAR,10,6,0.5,17.857142857142858,0.75,0.9473684210526315,0.75,0.8372093023255814,0.37463432463267765
X4745,mice,MAR,10,6,0.5388159060803247,9.67741935483871,0.7096774193548387,0.8636363636363636,0.76,0.8085106382978724,0.2263009527424072
X4776,mice,MAR,10,6,0.34641016151377546,4.0,0.88,0.9565217391304348,0.9166666666666666,0.9361702127659574,-0.0601929265428846
X4780,mice,MAR,10,6,0.4,16.0,0.84,1.0,0.84,0.9130434782608696,
X4794,mice,MAR,10,6,0.4913036844405175,3.4482758620689653,0.7586206896551724,0.8571428571428571,0.8181818181818182,0.8372093023255814,0.3730235484764954
X4821,mice,MAR,10,6,0.5,8.333333333333332,0.75,0.8928571428571429,0.8064516129032258,0.8474576271186439,0.17173551629643674
X4827,mice,MAR,10,6,0.3692744729379982,13.636363636363635,0.8636363636363636,1.0,0.8636363636363636,0.9268292682926829,
X4828,mice,MAR,10,6,0.6358107573397419,19.148936170212767,0.5957446808510638,0.8275862068965517,0.631578947368421,0.716417910447761,0.06153540218833294
X4954,mice,MAR,10,6,0.4913036844405175,10.344827586206897,0.7586206896551724,0.9166666666666666,0.8148148148148148,0.8627450980392156,-0.12422599874998831
X5132,mice,MAR,10,6,0.22360679774997896,5.0,0.95,0.5,1.0,0.6666666666666666,0.6882472016116853
X5196,mice,MAR,10,6,0.6030226891555273,18.181818181818183,0.6363636363636364,0.18181818181818182,0.4,0.25000000000000006,0.05976143046671968
X5220,mice,MAR,10,6,0.5,10.714285714285714,0.75,0.5,0.7142857142857143,0.588235294117647,0.4303314829119352
X5226,mice,MAR,10,6,0.5222329678670935,18.181818181818183,0.7272727272727273,0.9285714285714286,0.7222222222222222,0.8125000000000001,0.3786200927092679
X4654,mice,MAR,10,7,0.4225771273642583,17.857142857142858,0.8214285714285714,1.0,0.8214285714285714,0.9019607843137255,
X4676,mice,MAR,10,7,0.6831300510639732,33.33333333333333,0.5333333333333333,0.875,0.5384615384615384,0.6666666666666667,0.026207120918047958
X4729,mice,MAR,10,7,0.4662524041201569,4.3478260869565215,0.782608695652174,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.3143730417143384
X4745,mice,MAR,10,7,0.5345224838248488,19.047619047619047,0.7142857142857143,0.9285714285714286,0.7222222222222222,0.8125000000000001,0.28867513459481287
X4776,mice,MAR,10,7,0.3244428422615251,10.526315789473683,0.8947368421052632,1.0,0.8947368421052632,0.9444444444444444,
X4780,mice,MAR,10,7,0.3779644730092272,14.285714285714285,0.8571428571428571,1.0,0.8571428571428571,0.923076923076923,
X4794,mice,MAR,10,7,0.5773502691896257,13.333333333333334,0.6666666666666666,0.72,0.8571428571428571,0.782608695652174,0.09759000729485331
X4821,mice,MAR,10,7,0.43994134506405985,0.0,0.8064516129032258,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.2846153846153846
X4827,mice,MAR,10,7,0.3849001794597505,14.814814814814813,0.8518518518518519,1.0,0.8518518518518519,0.92,
X4828,mice,MAR,10,7,0.5830951894845301,18.0,0.66,0.8787878787878788,0.6904761904761905,0.7733333333333333,0.14741066475274187
X4954,mice,MAR,10,7,0.6813851438692469,39.285714285714285,0.5357142857142857,0.9375,0.5555555555555556,0.6976744186046512,-0.16666666666666666
X5132,mice,MAR,10,7,0.30618621784789724,9.375,0.90625,,,,
X5196,mice,MAR,10,7,0.4330127018922193,6.25,0.8125,0.5,0.3333333333333333,0.4,0.30261376633440124
X5220,mice,MAR,10,7,0.5252257314388902,6.896551724137931,0.7241379310344828,0.375,0.5,0.42857142857142855,0.2561358820277077
X5226,mice,MAR,10,7,0.565685424949238,16.0,0.68,0.8666666666666667,0.6842105263157895,0.7647058823529413,0.305887645160749
X4654,mice,MAR,10,8,0.48304589153964794,23.333333333333332,0.7666666666666667,1.0,0.7666666666666667,0.8679245283018869,
X4676,mice,MAR,10,8,0.4472135954999579,12.0,0.8,0.9230769230769231,0.75,0.8275862068965517,0.6138245895861674
X4729,mice,MAR,10,8,0.4629100498862757,7.142857142857142,0.7857142857142857,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.3768673314407158
X4745,mice,MAR,10,8,0.5773502691896257,0.0,0.6666666666666666,0.75,0.75,0.75,0.25
X4776,mice,MAR,10,8,0.2773500981126146,7.6923076923076925,0.9230769230769231,1.0,0.9230769230769231,0.9600000000000001,
X4780,mice,MAR,10,8,0.3651483716701107,13.333333333333334,0.8666666666666667,1.0,0.8666666666666667,0.9285714285714286,
X4794,mice,MAR,10,8,0.6915640748081247,4.3478260869565215,0.5217391304347826,0.6666666666666666,0.625,0.6451612903225806,-0.08625819491779428
X4821,mice,MAR,10,8,0.6582805886043833,10.0,0.5666666666666667,0.7619047619047619,0.6666666666666666,0.7111111111111111,-0.14547859349066158
X4827,mice,MAR,10,8,0.23570226039551584,5.555555555555555,0.9444444444444444,1.0,0.9444444444444444,0.9714285714285714,
X4828,mice,MAR,10,8,0.5239368319955838,11.76470588235294,0.7254901960784313,0.8918918918918919,0.7674418604651163,0.825,0.21794340221510264
X4954,mice,MAR,10,8,0.5252257314388902,13.793103448275861,0.7241379310344828,0.9090909090909091,0.7692307692307693,0.8333333333333333,0.07299318686018119
X5132,mice,MAR,10,8,0.4898979485566356,24.0,0.76,,,,
X5196,mice,MAR,10,8,0.5590169943749475,6.25,0.6875,0.3333333333333333,0.42857142857142855,0.375,0.17338428937260214
X5220,mice,MAR,10,8,0.5872202195147035,6.896551724137931,0.6551724137931034,0.3333333333333333,0.42857142857142855,0.375,0.14414999403128945
X5226,mice,MAR,10,8,0.45374260648651504,14.705882352941178,0.7941176470588235,0.9545454545454546,0.7777777777777778,0.8571428571428572,0.5372153093502535
X4654,mice,MAR,10,9,0.3779644730092272,14.285714285714285,0.8571428571428571,1.0,0.8571428571428571,0.923076923076923,
X4676,mice,MAR,10,9,0.5883484054145521,11.538461538461538,0.6538461538461539,0.7,0.8235294117647058,0.7567567567567567,0.17712297710801908
X4729,mice,MAR,10,9,0.5188745216627708,3.8461538461538463,0.7307692307692307,0.8235294117647058,0.7777777777777778,0.7999999999999999,0.3907518403363142
X4745,mice,MAR,10,9,0.5188745216627708,3.8461538461538463,0.7307692307692307,0.8095238095238095,0.85,0.8292682926829269,0.19599157740244455
X4776,mice,MAR,10,9,0.254000254000381,0.0,0.9354838709677419,0.9666666666666667,0.9666666666666667,0.9666666666666667,-0.03333333333333333
X4780,mice,MAR,10,9,0.3592106040535498,12.903225806451612,0.8709677419354839,1.0,0.8709677419354839,0.9310344827586207,
X4794,mice,MAR,10,9,0.4767312946227962,4.545454545454546,0.7727272727272727,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.3067859955389482
X4821,mice,MAR,10,9,0.5883484054145521,19.230769230769234,0.6538461538461539,0.8947368421052632,0.7083333333333334,0.7906976744186046,-0.17521916101261562
X4827,mice,MAR,10,9,0.31622776601683794,10.0,0.9,1.0,0.9,0.9473684210526316,
X4828,mice,MAR,10,9,0.6988362419217079,11.627906976744185,0.5116279069767442,0.7333333333333333,0.6285714285714286,0.6769230769230768,-0.3147183169877773
X4954,mice,MAR,10,9,0.3922322702763681,7.6923076923076925,0.8461538461538461,0.9545454545454546,0.875,0.9130434782608695,0.27695585470349865
X5132,mice,MAR,10,9,0.3333333333333333,11.11111111111111,0.8888888888888888,,,,
X5196,mice,MAR,10,9,0.5,8.333333333333332,0.75,0.2,0.3333333333333333,0.25,0.11633501014942219
X5220,mice,MAR,10,9,0.5270462766947299,5.555555555555555,0.7222222222222222,0.5,0.4,0.4444444444444445,0.26519741765271837
