country,world_region,entry_id,entry_name,region_id,has_country
Montserrat,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Jersey,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Guernsey,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
United Kingdom,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
United Arab Emirates,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Ukraine,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Uganda,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Turkmenistan,Central Eurasia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Turkey,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Tunisia,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Trinidad and Tobago,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Togo,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
East Timor,Southeast Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Thailand,Southeast Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Tanzania,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Tajikistan,Central Eurasia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Taiwan,East Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Syria,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Switzerland,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Swaziland,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Suriname,South America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
South Sudan,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Sudan,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Sri Lanka,South Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Spain,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
South Korea,East Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
South Africa,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Somalia,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Solomon Islands,Oceania-Australia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Slovakia,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Slovenia,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Singapore,Southeast Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Sierra Leone,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Seychelles,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Serbia,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Senegal,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Saudi Arabia,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Sao Tome and Principe,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
San Marino,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Saint Vincent and the Grenadines,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Saint Lucia,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Saint Kitts and Nevis,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Rwanda,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Russia,Central Eurasia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Romania,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Qatar,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Portugal,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Poland,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Philippines,Southeast Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Peru,South America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Paraguay,South America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Papua New Guinea,Oceania-Australia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Panama,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Palau,Oceania-Australia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Pakistan,South Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Oman,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
North Korea,East Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Nigeria,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Niger,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Nicaragua,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
New Zealand,Oceania-Australia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Netherlands,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Caribbean Netherlands,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Aruba,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Curaçao,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Nepal,South Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Namibia,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Mozambique,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Morocco,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Western Sahara,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Montenegro,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Mongolia,Central Eurasia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Moldova,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Monaco,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Mexico,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Mauritius,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Mauritania,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Malta,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Mali,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Maldives,South Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Malaysia,Southeast Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Malawi,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Madagascar,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Macedonia,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Luxembourg,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Liechtenstein,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Libya,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Liberia,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Lesotho,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Lebanon,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Laos,Southeast Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Kyrgyzstan,Central Eurasia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Kuwait,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Kenya,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Kazakhstan,Central Eurasia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Jordan,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Japan,East Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Jamaica,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Italy,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Israel,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Palestine,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Iraq,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Iran,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Indonesia,Southeast Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
India,South Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Hungary,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Honduras,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Haiti,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Guyana,South America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Guinea Bissau,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Guinea,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Guatemala,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Grenada,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Greece,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Ghana,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Germany,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Georgia,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
The Gambia,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Gabon,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Saint Pierre and Miquelon,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Saint Martin,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Saint Barthelemy,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
New Caledonia,Oceania-Australia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Ethiopia,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Eritrea,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Equatorial Guinea,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
El Salvador,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Egypt,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Ecuador,South America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Dominican Republic,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Dominica,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Djibouti,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Czech Republic,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Cyprus,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Cuba,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Croatia,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Ivory Coast,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Costa Rica,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Democratic Republic of the Congo,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Republic of Congo,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Comoros,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Colombia,South America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
China,East Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Macao S.A.R,East Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Hong Kong S.A.R.,East Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Chile,South America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Chad,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Central African Republic,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Cape Verde,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Canada,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Cameroon,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Cambodia,Southeast Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Myanmar,Southeast Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Burundi,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Burkina Faso,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Bulgaria,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Brunei,Southeast Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Brazil,South America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Botswana,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Bosnia and Herzegovina,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Bolivia,South America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Bhutan,South Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Benin,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Belize,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Belgium,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Barbados,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Bangladesh,South Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Bahrain,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
The Bahamas,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Azerbaijan,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Austria,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Australia,Oceania-Australia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Norfolk Island,Oceania-Australia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Armenia,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Argentina,South America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Antigua and Barbuda,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Angola,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Andorra,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Algeria,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Albania,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Afghanistan,South Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Sint Maarten,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Zimbabwe,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Zambia,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Yemen,Southwest Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Vietnam,Southeast Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Venezuela,South America,877,The International Network of Engaged Buddhists - INEB,660,True
Vatican,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Vanuatu,Oceania-Australia,877,The International Network of Engaged Buddhists - INEB,660,True
Uzbekistan,Central Eurasia,877,The International Network of Engaged Buddhists - INEB,660,True
Uruguay,South America,877,The International Network of Engaged Buddhists - INEB,660,True
Federated States of Micronesia,Oceania-Australia,877,The International Network of Engaged Buddhists - INEB,660,True
Northern Mariana Islands,Oceania-Australia,877,The International Network of Engaged Buddhists - INEB,660,True
United States Virgin Islands,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Guam,Oceania-Australia,877,The International Network of Engaged Buddhists - INEB,660,True
Puerto Rico,North America,877,The International Network of Engaged Buddhists - INEB,660,True
United States of America,North America,877,The International Network of Engaged Buddhists - INEB,660,True
British Indian Ocean Territory,South Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Saint Helena,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Anguilla,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Falkland Islands,South America,877,The International Network of Engaged Buddhists - INEB,660,True
Cayman Islands,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Bermuda,North America,877,The International Network of Engaged Buddhists - INEB,660,True
British Virgin Islands,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Turks and Caicos Islands,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Montserrat,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Jersey,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Guernsey,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
United Kingdom,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
United Arab Emirates,Southwest Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Ukraine,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Uganda,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Turkmenistan,Central Eurasia,877,The International Network of Engaged Buddhists - INEB,660,True
Turkey,Southwest Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Tunisia,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Trinidad and Tobago,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Togo,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
East Timor,Southeast Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Thailand,Southeast Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Tanzania,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Tajikistan,Central Eurasia,877,The International Network of Engaged Buddhists - INEB,660,True
Taiwan,East Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Syria,Southwest Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Switzerland,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Swaziland,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Suriname,South America,877,The International Network of Engaged Buddhists - INEB,660,True
South Sudan,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Sudan,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Sri Lanka,South Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Spain,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
South Korea,East Asia,877,The International Network of Engaged Buddhists - INEB,660,True
South Africa,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Somalia,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Solomon Islands,Oceania-Australia,877,The International Network of Engaged Buddhists - INEB,660,True
Slovakia,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Slovenia,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Singapore,Southeast Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Sierra Leone,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Seychelles,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Serbia,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Senegal,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Saudi Arabia,Southwest Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Sao Tome and Principe,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
San Marino,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Saint Vincent and the Grenadines,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Saint Lucia,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Saint Kitts and Nevis,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Rwanda,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Russia,Central Eurasia,877,The International Network of Engaged Buddhists - INEB,660,True
Romania,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Qatar,Southwest Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Portugal,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Poland,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Philippines,Southeast Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Peru,South America,877,The International Network of Engaged Buddhists - INEB,660,True
Paraguay,South America,877,The International Network of Engaged Buddhists - INEB,660,True
Papua New Guinea,Oceania-Australia,877,The International Network of Engaged Buddhists - INEB,660,True
Panama,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Palau,Oceania-Australia,877,The International Network of Engaged Buddhists - INEB,660,True
Pakistan,South Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Oman,Southwest Asia,877,The International Network of Engaged Buddhists - INEB,660,True
North Korea,East Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Nigeria,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Niger,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Nicaragua,North America,877,The International Network of Engaged Buddhists - INEB,660,True
New Zealand,Oceania-Australia,877,The International Network of Engaged Buddhists - INEB,660,True
Netherlands,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Caribbean Netherlands,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Aruba,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Curaçao,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Nepal,South Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Namibia,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Mozambique,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Morocco,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Western Sahara,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Montenegro,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Mongolia,Central Eurasia,877,The International Network of Engaged Buddhists - INEB,660,True
Moldova,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Monaco,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Mexico,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Mauritius,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Mauritania,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Malta,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Mali,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Maldives,South Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Malaysia,Southeast Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Malawi,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Madagascar,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Macedonia,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Luxembourg,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Liechtenstein,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Libya,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Liberia,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Lesotho,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Lebanon,Southwest Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Laos,Southeast Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Kyrgyzstan,Central Eurasia,877,The International Network of Engaged Buddhists - INEB,660,True
Kuwait,Southwest Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Kenya,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Kazakhstan,Central Eurasia,877,The International Network of Engaged Buddhists - INEB,660,True
Jordan,Southwest Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Japan,East Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Jamaica,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Italy,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Israel,Southwest Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Palestine,Southwest Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Iraq,Southwest Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Iran,Southwest Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Indonesia,Southeast Asia,877,The International Network of Engaged Buddhists - INEB,660,True
India,South Asia,877,The International Network of Engaged Buddhists - INEB,660,True
Hungary,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Honduras,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Haiti,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Guyana,South America,877,The International Network of Engaged Buddhists - INEB,660,True
Guinea Bissau,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Guinea,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Guatemala,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Grenada,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Greece,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Ghana,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Germany,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Georgia,Southwest Asia,877,The International Network of Engaged Buddhists - INEB,660,True
The Gambia,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Gabon,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Saint Pierre and Miquelon,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Saint Martin,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Saint Barthelemy,North America,877,The International Network of Engaged Buddhists - INEB,660,True
New Caledonia,Oceania-Australia,877,The International Network of Engaged Buddhists - INEB,660,True
Ethiopia,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Eritrea,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Equatorial Guinea,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
El Salvador,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Egypt,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Ecuador,South America,877,The International Network of Engaged Buddhists - INEB,660,True
Dominican Republic,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Dominica,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Djibouti,Africa,877,The International Network of Engaged Buddhists - INEB,660,True
Czech Republic,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Cyprus,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
Cuba,North America,877,The International Network of Engaged Buddhists - INEB,660,True
Croatia,Europe,877,The International Network of Engaged Buddhists - INEB,660,True
