country,world_region,entry_id,entry_name,region_id,has_country
Zimbabwe,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Zambia,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Yemen,Southwest Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Vietnam,Southeast Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Venezuela,South America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Vatican,Europe,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Vanuatu,Oceania-Australia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Uzbekistan,Central Eurasia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Uruguay,South America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Federated States of Micronesia,Oceania-Australia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Northern Mariana Islands,Oceania-Australia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
United States Virgin Islands,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Guam,Oceania-Australia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Puerto Rico,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
United States of America,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
British Indian Ocean Territory,South Asia,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Saint Helena,Africa,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Anguilla,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Falkland Islands,South America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Cayman Islands,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Bermuda,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
British Virgin Islands,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
Turks and Caicos Islands,North America,525,Church of Jesus Christ of Latter-day Saints (modern),660,True
