type,percent,iter,method,frobenius,avg_squared,mae,complete_data
MAR,10,1,additional_NA,0.394454487066117,0.00555694079880691,0.05830282841942052,True
MAR,10,2,additional_NA,0.4889447003268768,0.008538104284919263,0.07899586507438786,True
MAR,10,3,additional_NA,0.2939390789044968,0.003085720789543713,0.046255193763320546,True
MAR,10,4,additional_NA,0.35447398579106765,0.004487564521521644,0.05285446839494755,True
MAR,10,5,additional_NA,0.40270405772574885,0.00579180564674226,0.0638941695215247,True
MAR,10,6,additional_NA,0.37664045466962554,0.005066358289062223,0.051888460045528974,True
MAR,10,7,additional_NA,0.3894624982923695,0.0054171799134333535,0.06108724302345079,True
MAR,10,8,additional_NA,0.4308099394981836,0.00662847157037245,0.061528126133157404,True
MAR,10,9,additional_NA,0.4770461420486462,0.008127607915839184,0.07743709722416407,True
MAR,10,10,additional_NA,0.3679816687949713,0.004836089591754712,0.05606031762031649,True
MAR,20,1,additional_NA,0.6964608281760691,0.017323488756560573,0.1045684776717557,True
MAR,20,2,additional_NA,0.6650896039457295,0.015798006474167403,0.1054215641869646,True
MAR,20,3,additional_NA,0.6465377703798888,0.014928967447421351,0.09388207865062377,True
MAR,20,4,additional_NA,0.608565406027187,0.013226851907608392,0.09799500109626073,True
MAR,20,5,additional_NA,0.7920319057010535,0.022404090701730096,0.12821900383665902,True
MAR,20,6,additional_NA,0.6074041111390117,0.0131764197938776,0.08302998837295443,True
MAR,20,7,additional_NA,0.6430751002385747,0.014769485162387602,0.10102313777693582,True
MAR,20,8,additional_NA,0.7026404796031236,0.017632272984889553,0.10160442546722014,True
MAR,20,9,additional_NA,0.6219751570400462,0.01381618199910679,0.09542138670955078,True
MAR,20,10,additional_NA,0.5296245122381532,0.010017932998696489,0.08180631003894623,True
MAR,30,1,additional_NA,0.9603319141955038,0.03293704947937144,0.15718940028960499,True
MAR,30,2,additional_NA,1.4325708294876711,0.07329497076782121,0.22026937631531365,True
MAR,30,3,additional_NA,0.88303726928871,0.027848386391173627,0.13975241604606695,True
MAR,30,4,additional_NA,0.9745960998401944,0.03392276992227564,0.14669216038696958,True
MAR,30,5,additional_NA,0.9417984462201185,0.03167801118937962,0.14919421599179367,True
MAR,30,6,additional_NA,0.8535890966635027,0.026021940926529093,0.1323379502912176,True
MAR,30,7,additional_NA,0.8167869082226141,0.023826459051566322,0.11714030477337632,True
MAR,30,8,additional_NA,0.8598055456279816,0.026402342010451114,0.12855171527927892,True
MAR,30,9,additional_NA,0.8095426184274791,0.023405687537514965,0.1340447284936464,True
MAR,30,10,additional_NA,1.274121814730348,0.05797808567041982,0.19993766877182026,True
MAR,40,1,additional_NA,1.5084699456310138,0.0812671991740012,0.23081829563691322,True
MAR,40,2,additional_NA,1.4082136013197557,0.07082376953364126,0.2308545481775473,True
MAR,40,3,additional_NA,1.2495301212970613,0.05576162585816603,0.18710931056129324,True
MAR,40,4,additional_NA,1.228980813895862,0.053942637175861986,0.18730053339720953,True
MAR,40,5,additional_NA,1.0993499479979196,0.04316322529153673,0.18062516960355346,True
MAR,40,6,additional_NA,1.8325966703849836,0.1199432341537903,0.29016435346792113,True
MAR,40,7,additional_NA,1.2967084816941392,0.06005188880348285,0.2088853558006405,True
MAR,40,8,additional_NA,1.7440074288355745,0.10862721113691684,0.2748867677623811,True
MAR,40,9,additional_NA,1.5688744984782645,0.0879059711419795,0.24694991483366188,True
MAR,40,10,additional_NA,1.3813514435340335,0.06814756466262709,0.21048616518778857,True
MAR,50,1,additional_NA,1.4500593703063482,0.07509543490761582,0.22386755863720167,True
MAR,50,2,additional_NA,2.087268251909833,0.15559602697966887,0.3507062663155878,True
MAR,50,3,additional_NA,1.5115166439407917,0.10879440785285877,0.28021208517511403,False
MAR,50,4,additional_NA,1.640990036676651,0.12823087145104936,0.3196091776046,False
MAR,50,5,additional_NA,1.9686219145534194,0.13840972294499895,0.3154992276777019,True
MAR,50,6,additional_NA,1.8192786995375203,0.15760833269480626,0.31268620498815636,False
MAR,50,7,additional_NA,1.1708707960323506,0.13709384210014303,0.31083000040479464,False
MAR,50,8,additional_NA,0.4639393231441631,0.21523969555946418,0.4639393231441631,False
MAR,50,9,additional_NA,1.4453679639444603,0.13927257007979701,0.314621012424225,False
MAR,50,10,additional_NA,2.0528386567229444,0.2809431033690709,0.4961796855579259,False
MAR,60,1,additional_NA,1.66137781687645,0.27601762504091587,0.49030952793290383,False
MAR,60,2,additional_NA,1.218948634483703,1.4858357735096843,1.218948634483703,False
MAR,60,3,additional_NA,1.515220216215029,0.22958923036267193,0.38746103267439896,False
MAR,60,4,additional_NA,1.5565044553706615,0.24227061195887195,0.41714416483737304,False
MAR,60,5,additional_NA,1.6472082584503762,0.18088633644714144,0.3852705553046332,False
MAR,60,6,additional_NA,0.0,,,False
MAR,60,7,additional_NA,1.3165788105439145,0.17333797643732288,0.3727358349360232,False
MAR,60,8,additional_NA,0.0,,,False
MAR,60,9,additional_NA,1.7420361707152263,0.5057816700133615,0.7038972363870641,False
MAR,60,10,additional_NA,0.0,,,False
MAR,70,1,additional_NA,1.6433790842318936,0.4501158024151429,0.6302683425447615,False
MAR,70,2,additional_NA,0.0,,,False
MAR,70,3,additional_NA,1.2874185239032387,0.16574464556891944,0.34247953706400136,False
MAR,70,4,additional_NA,0.0,,,False
MAR,70,5,additional_NA,1.2006523824697821,0.4805220478434547,0.6718825813592595,False
MAR,70,6,additional_NA,1.2744520401107584,0.5414093341808247,0.7336060287552687,False
MAR,70,7,additional_NA,1.2006523824697821,0.4805220478434547,0.6718825813592595,False
MAR,70,8,additional_NA,0.0,,,False
MAR,70,9,additional_NA,1.218948634483703,1.4858357735096843,1.218948634483703,False
MAR,70,10,additional_NA,0.0,,,False
MAR,80,1,additional_NA,0.0,,,False
MAR,80,2,additional_NA,0.0,,,False
MAR,80,3,additional_NA,0.8402361284604314,0.7059967515701746,0.8402361284604314,False
MAR,80,4,additional_NA,0.0,,,False
MAR,80,5,additional_NA,0.0,,,False
MAR,80,6,additional_NA,0.0,,,False
MAR,80,7,additional_NA,0.0,,,False
MAR,80,8,additional_NA,0.0,,,False
MAR,80,9,additional_NA,0.0,,,False
MAR,80,10,additional_NA,0.0,,,False
MCAR,10,1,additional_NA,0.5259315415564257,0.009878713800139943,0.07595188396764466,True
MCAR,10,2,additional_NA,0.43563841856491897,0.006777886847490841,0.06331470902215901,True
MCAR,10,3,additional_NA,0.5121940710042566,0.009369384513282624,0.08199579659215031,True
MCAR,10,4,additional_NA,0.5406992356331362,0.010441273693366346,0.08129114852152065,True
MCAR,10,5,additional_NA,0.4395061280822671,0.006898772736495221,0.06202393591157741,True
MCAR,10,6,additional_NA,0.4473503418151388,0.00714722601150434,0.06628820954985645,True
MCAR,10,7,additional_NA,0.511036972952033,0.009327099561570603,0.07370574295234303,True
MCAR,10,8,additional_NA,0.35916010866003384,0.004606999416167404,0.05316438477276111,True
MCAR,10,9,additional_NA,0.4995890317297834,0.008913900022310805,0.07646131834783172,True
MCAR,10,10,additional_NA,0.42461043676503774,0.006439072250349861,0.06346412651874543,True
MCAR,20,1,additional_NA,1.2044829565475306,0.051813542593338584,0.1945364359551883,True
MCAR,20,2,additional_NA,0.8749774787253279,0.027342342438447565,0.14460854931668596,True
MCAR,20,3,additional_NA,1.1287011382035288,0.045498794977926485,0.16975185952402108,True
MCAR,20,4,additional_NA,1.1562684714326354,0.0477484563581844,0.18277626440967015,True
MCAR,20,5,additional_NA,0.8286109368024712,0.024521288735309604,0.12780996764360025,True
MCAR,20,6,additional_NA,0.9420591029884176,0.03169554834011935,0.13665633470117705,True
MCAR,20,7,additional_NA,0.7759511478470039,0.021503577994467248,0.1221147610277941,True
MCAR,20,8,additional_NA,0.8110061560053747,0.02349039232423622,0.11611883973744026,True
MCAR,20,9,additional_NA,0.9176657708695614,0.030075373822343793,0.1404970243497334,True
MCAR,20,10,additional_NA,0.9718703765766961,0.03373328674526175,0.14823092669220994,True
MCAR,30,1,additional_NA,2.5370102645837598,0.22987218152154854,0.3905185837515544,True
MCAR,30,2,additional_NA,1.1709139078384725,0.09140262530463754,0.28026479733013954,False
MCAR,30,3,additional_NA,1.6807890401281256,0.13452627606737266,0.2960627589220412,False
MCAR,30,4,additional_NA,1.9839462482398993,0.14057295413947044,0.3347256282552794,True
MCAR,30,5,additional_NA,1.226220896695757,0.25060294791555776,0.4824018187185048,False
MCAR,30,6,additional_NA,1.6042354241031496,0.09191326056955043,0.2390500883817863,True
MCAR,30,7,additional_NA,1.2221191190171605,0.053341969323831444,0.18445628353379165,True
MCAR,30,8,additional_NA,2.218567780381166,0.1757872498623362,0.38478270088392186,True
MCAR,30,9,additional_NA,1.6981307178317298,0.10298742624441805,0.26744336013548387,True
MCAR,30,10,additional_NA,1.4401282553378756,0.07407033542223262,0.2450743283481782,True
MCAR,40,1,additional_NA,0.0,,,False
MCAR,40,2,additional_NA,2.0392302070915527,0.693076639585776,0.8280232665338101,False
MCAR,40,3,additional_NA,2.482160087026559,0.410741246508513,0.6090382874475433,False
MCAR,40,4,additional_NA,2.7009992439493793,0.34739985313405325,0.5486657896156267,False
MCAR,40,5,additional_NA,0.0,,,False
MCAR,40,6,additional_NA,1.0307051814163273,1.0623531709984642,1.0307051814163273,False
MCAR,40,7,additional_NA,1.4189379238835087,0.20133848318348418,0.3520323423804423,False
MCAR,40,8,additional_NA,3.816452909837793,0.9710208542006239,0.9636329470244773,False
MCAR,40,9,additional_NA,2.0006488175426584,0.19059979481594466,0.3674729373294921,False
