method,nan_in_y_pred,type,percent,iter,rmse,mpb,accuracy,precision,recall,f1
FAMD,False,MAR,10,1,0.0,0.0,1.0,1.0,1.0,1.0
FAMD,False,MAR,10,1,0.3333333333333333,11.11111111111111,0.8888888888888888,0.8888888888888888,1.0,0.9411764705882353
FAMD,False,MAR,10,1,0.5423261445466404,29.411764705882355,0.7058823529411765,0.7058823529411765,1.0,0.8275862068965517
FAMD,False,MAR,10,1,0.4767312946227962,22.727272727272727,0.7727272727272727,0.7727272727272727,1.0,0.8717948717948718
FAMD,False,MAR,10,1,0.5590169943749475,12.5,0.6875,0.7692307692307693,0.8333333333333334,0.8
FAMD,False,MAR,10,1,0.0,0.0,1.0,1.0,1.0,1.0
FAMD,False,MAR,10,1,0.0,0.0,1.0,1.0,1.0,1.0
FAMD,False,MAR,10,1,0.5477225575051661,30.0,0.7,0.7,1.0,0.8235294117647058
FAMD,False,MAR,10,2,0.5400617248673217,22.916666666666664,0.7083333333333334,0.7,0.9333333333333333,0.8
FAMD,False,MAR,10,2,0.4330127018922193,18.75,0.8125,0.8125,1.0,0.896551724137931
FAMD,False,MAR,10,2,0.2581988897471611,6.666666666666667,0.9333333333333333,0.9333333333333333,1.0,0.9655172413793104
FAMD,False,MAR,10,2,0.4714045207910317,22.22222222222222,0.7777777777777778,0.7777777777777778,1.0,0.8750000000000001
FAMD,False,MAR,10,2,0.3535533905932738,3.125,0.875,0.9285714285714286,0.9285714285714286,0.9285714285714286
FAMD,False,MAR,10,2,0.22360679774997896,5.0,0.95,0.9333333333333333,1.0,0.9655172413793104
FAMD,False,MAR,10,2,0.0,0.0,1.0,1.0,1.0,1.0
FAMD,False,MAR,10,2,0.3779644730092272,14.285714285714285,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923
FAMD,False,MAR,10,3,0.6831300510639732,46.666666666666664,0.5333333333333333,0.5,1.0,0.6666666666666666
FAMD,False,MAR,10,3,0.3333333333333333,11.11111111111111,0.8888888888888888,0.8888888888888888,1.0,0.9411764705882353
FAMD,False,MAR,10,3,0.4803844614152614,23.076923076923077,0.7692307692307693,0.7692307692307693,1.0,0.8695652173913044
FAMD,False,MAR,10,3,0.408248290463863,16.666666666666664,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091
FAMD,False,MAR,10,3,0.5,15.625,0.75,0.7692307692307693,0.9090909090909091,0.8333333333333333
FAMD,False,MAR,10,3,0.5270462766947299,19.444444444444446,0.7222222222222222,0.7647058823529411,0.9285714285714286,0.8387096774193549
FAMD,False,MAR,10,3,0.28867513459481287,8.333333333333332,0.9166666666666666,0.9166666666666666,1.0,0.9565217391304348
FAMD,False,MAR,10,3,0.2672612419124244,7.142857142857142,0.9285714285714286,0.9285714285714286,1.0,0.962962962962963
FAMD,False,MAR,10,4,0.408248290463863,8.333333333333332,0.8333333333333334,0.8571428571428571,0.9230769230769231,0.888888888888889
FAMD,False,MAR,10,4,0.5,25.0,0.75,0.75,1.0,0.8571428571428571
FAMD,False,MAR,10,4,0.3651483716701107,13.333333333333334,0.8666666666666667,0.8666666666666667,1.0,0.9285714285714286
FAMD,False,MAR,10,4,0.4472135954999579,20.0,0.8,0.8,1.0,0.888888888888889
FAMD,False,MAR,10,4,0.6236095644623235,38.88888888888889,0.6111111111111112,0.6111111111111112,1.0,0.7586206896551725
