type,percent,iter,method,frobenius,avg_squared,mae,complete_data
MAR,10,1,MICE,0.24072313409217896,0.0020695581173986134,0.037869246103767296,True
MAR,10,2,MICE,0.17731747843089044,0.0011229102913246178,0.027489212619988247,True
MAR,10,3,MICE,0.21774385889318915,0.001693299574489181,0.031807646996759815,True
MAR,10,4,MICE,0.16653620177088463,0.000990510946438314,0.02712196379163239,True
MAR,10,5,MICE,0.17685670347092036,0.0011170819129500376,0.026819866143112325,True
MAR,10,6,MICE,0.160798966495819,0.0009234395580758403,0.025246722432516928,True
MAR,10,7,MICE,0.17319174833634604,0.001071263631850008,0.025096071830180266,True
MAR,10,8,MICE,0.22885123926700687,0.0018704603469301723,0.03339438662760303,True
MAR,10,9,MICE,0.20268875901326328,0.0014672404653691684,0.03191396193552771,True
MAR,10,10,MICE,0.1920934178836248,0.001317852899793318,0.027295802875566894,True
MAR,20,1,MICE,0.30551738645820425,0.003333602622437562,0.04735917481652196,True
MAR,20,2,MICE,0.3724541372121426,0.0049543601545157705,0.0598403418809527,True
MAR,20,3,MICE,0.3165161641920485,0.003577945792673136,0.047218255252254704,True
MAR,20,4,MICE,0.4350362035866957,0.006759160658254462,0.06597779788569018,True
MAR,20,5,MICE,0.27123551725016914,0.0026274537792130995,0.04331658049237753,True
MAR,20,6,MICE,0.34130093596344757,0.0041602260317687625,0.05228222490811437,True
MAR,20,7,MICE,0.34635070356041847,0.004284243209171317,0.05113333595662743,True
MAR,20,8,MICE,0.4020966071072095,0.005774345765968915,0.06176721807541167,True
MAR,20,9,MICE,0.39461123402905174,0.005561358072211823,0.06367555392674236,True
MAR,20,10,MICE,0.34509681369104583,0.004253278957846871,0.050722205341259374,True
MAR,30,1,MICE,0.36957623275215123,0.004878092564831153,0.05537118577400522,True
MAR,30,2,MICE,0.41618814540543514,0.006186163299143415,0.06293430693475768,True
MAR,30,3,MICE,0.49036216254939113,0.008587680373575554,0.07523104021079045,True
MAR,30,4,MICE,0.43560424477627396,0.006776823502396715,0.06323222934963017,True
MAR,30,5,MICE,0.44440184061108545,0.007053321283518593,0.06836782148787848,True
MAR,30,6,MICE,0.5189627184130879,0.009618653682239358,0.07673561122519616,True
MAR,30,7,MICE,0.3445887632639371,0.0042407648488489175,0.051912007084997276,True
MAR,30,8,MICE,0.4661769615327022,0.007761462837995091,0.07064663469139106,True
MAR,30,9,MICE,0.40906432594132364,0.005976200812779624,0.061707513167353574,True
MAR,30,10,MICE,0.48729152525519986,0.008480465378054967,0.07403727310873917,True
MAR,40,1,MICE,0.5390797613235548,0.010378821038166458,0.07689549550907326,True
MAR,40,2,MICE,0.4747447314841379,0.00804937714542665,0.07666311255213262,True
MAR,40,3,MICE,0.5637012757752471,0.011348540296808613,0.08369849900878415,True
MAR,40,4,MICE,0.5694856037270674,0.011582637601870798,0.08988125328535486,True
MAR,40,5,MICE,0.4951301954684244,0.00875549680230715,0.07833090249245907,True
MAR,40,6,MICE,0.7015810756213536,0.017579143059643414,0.11028437629525281,True
MAR,40,7,MICE,0.5945989627373008,0.012626711660295503,0.09247713612018793,True
MAR,40,8,MICE,0.726423168972607,0.01884609358643588,0.1118498755945246,True
MAR,40,9,MICE,0.5856986724873082,0.012251533391192684,0.08146396186942347,True
MAR,40,10,MICE,0.43931628147998797,0.006892814113335858,0.07238188777049093,True
MAR,50,1,MICE,0.7508280270683749,0.020133668793978154,0.11943405441565227,True
MAR,50,2,MICE,0.6392407851026242,0.014593885047807833,0.09281286600852426,True
MAR,50,3,MICE,0.8329440937842564,0.024778423691788433,0.12319096999280821,True
MAR,50,4,MICE,0.6371088353931964,0.01449670243343125,0.10243715639774113,True
MAR,50,5,MICE,0.600229983498385,0.012867001181802553,0.09332298396796422,True
MAR,50,6,MICE,0.7249276160142762,0.018768573159290786,0.11542950709772407,True
MAR,50,7,MICE,0.6910122206111886,0.017053496036928784,0.11193239459178077,True
MAR,50,8,MICE,0.8934479550039784,0.028508901725028252,0.13145930348318138,True
MAR,50,9,MICE,0.6613498429747516,0.015620843385811736,0.09864015710950147,True
MAR,50,10,MICE,0.8120959589102466,0.02355356594565546,0.1244914534877237,True
MAR,60,1,MICE,1.0435276825552884,0.03889107229497181,0.15326150693100088,True
MAR,60,2,MICE,0.9040476811765576,0.02918936463716824,0.15003114559240466,True
MAR,60,3,MICE,0.9998617834604911,0.03570441378659979,0.15789673940334872,True
MAR,60,4,MICE,0.685572615651831,0.016786064690417615,0.11024958076430369,True
MAR,60,5,MICE,0.7964537075788399,0.022654946725574294,0.12146500492398891,True
MAR,60,6,MICE,0.9775280131420044,0.03412717915990553,0.1610761291609126,True
MAR,60,7,MICE,0.7512928179070265,0.020158603508524303,0.11196749715541122,True
MAR,60,8,MICE,1.215546413980378,0.05276975301930558,0.18425064575473854,True
MAR,60,9,MICE,0.7680851719644222,0.02106981540684343,0.11536728009143848,True
MAR,60,10,MICE,0.9457760781270799,0.031946156784194296,0.15167628903535252,True
MAR,70,1,MICE,1.09955097596559,0.043179012455245754,0.17035046941821846,True
MAR,70,2,MICE,1.0963295553032593,0.04292637477969436,0.16249857874075163,True
MAR,70,3,MICE,1.0555005245931157,0.039788619907726516,0.16277242292760255,True
MAR,70,4,MICE,1.0850393574052184,0.04204680025422604,0.16311607619372445,True
MAR,70,5,MICE,0.9680682594351953,0.03346986267592459,0.15710912648763792,True
MAR,70,6,MICE,0.8720810956545274,0.02716162276421432,0.12643052737588342,True
MAR,70,7,MICE,1.0621294807459407,0.04028996549534435,0.17019411785952446,True
MAR,70,8,MICE,1.0072746926561262,0.036235796659481914,0.16149953179688253,True
MAR,70,9,MICE,0.9341790331227169,0.031167516640217652,0.14026163043964807,True
MAR,70,10,MICE,1.0497030250772619,0.0393527300305841,0.1628346491747586,True
MAR,80,1,MICE,2.571343100226295,0.3148478732895892,0.4893922711402388,False
MAR,80,2,MICE,1.4386504980588166,0.07391840198446005,0.21837632485034184,True
MAR,80,3,MICE,1.2301327973291627,0.05404381068088824,0.1940605521479702,True
MAR,80,4,MICE,1.4846110350430972,0.07871678304899057,0.2429170345733526,True
MAR,80,5,MICE,1.342556876434613,0.06437353451649516,0.18117268000768288,True
MAR,80,6,MICE,0.9412591945206624,0.0316417454024888,0.14490293310413074,True
MAR,80,7,MICE,1.1933910541480468,0.050863650290020934,0.17380294297953522,True
MAR,80,8,MICE,1.2526253254697257,0.056038221643147736,0.19151028268544398,True
MAR,80,9,MICE,1.5180621394473268,0.08230402354369268,0.21207196855228005,True
MAR,80,10,MICE,1.3581963337359944,0.06588204574906774,0.2098329308456417,True
MCAR,10,1,MICE,0.3208430971997564,0.003676439036454726,0.04823812362606387,True
MCAR,10,2,MICE,0.31385767601362685,0.003518094314024098,0.0438997026938,True
MCAR,10,3,MICE,0.2330158415170921,0.001939156514211378,0.03703547621279404,True
MCAR,10,4,MICE,0.2653038832547556,0.0025137910882161787,0.040601112445870675,True
MCAR,10,5,MICE,0.28064160550357453,0.0028128468121294274,0.04362269123327538,True
MCAR,10,6,MICE,0.2969839467518059,0.00314998087958141,0.040193916703430185,True
MCAR,10,7,MICE,0.20228563470736347,0.0014614099288914604,0.032218910081076226,True
MCAR,10,8,MICE,0.21302824043662397,0.00162075111512586,0.0325337995032551,True
MCAR,10,9,MICE,0.27255492597127284,0.002653078131114501,0.041314967670412615,True
MCAR,10,10,MICE,0.22256794497164875,0.001769160361746531,0.03507887043961182,True
MCAR,20,1,MICE,0.4022751989401001,0.005779476274367755,0.0624811026889829,True
MCAR,20,2,MICE,0.372558390171705,0.004957134074547585,0.057283284768594935,True
MCAR,20,3,MICE,0.35042615559760504,0.004385660375961318,0.058292006204507696,True
MCAR,20,4,MICE,0.4885377539515568,0.008523897751286853,0.07131727527078997,True
MCAR,20,5,MICE,0.447570250750955,0.0071542546199025985,0.06487139054201012,True
MCAR,20,6,MICE,0.3696763376598285,0.004880735522342269,0.055562612033286385,True
MCAR,20,7,MICE,0.42470995387089283,0.0064420908898934265,0.06560344781120483,True
MCAR,20,8,MICE,0.31640543097778495,0.0035754427411513515,0.04570272505020339,True
MCAR,20,9,MICE,0.3746208636481786,0.0050121711243038295,0.05298377312708837,True
MCAR,20,10,MICE,0.4622398663606391,0.007630917644753625,0.06707636088264105,True
MCAR,30,1,MICE,0.5282475039050768,0.00996590804935515,0.0881550174532766,True
MCAR,30,2,MICE,0.6219131477519325,0.013813427262382752,0.0923046506417083,True
MCAR,30,3,MICE,0.4468123235586896,0.007130044731568397,0.06422903287034133,True
MCAR,30,4,MICE,0.415086834664366,0.00615346715398867,0.06753176329484327,True
MCAR,30,5,MICE,0.4732028809610484,0.007997177376779862,0.0763133783809767,True
MCAR,30,6,MICE,0.5786710362345032,0.011959291720596918,0.08338139695761435,True
MCAR,30,7,MICE,0.6040334078055742,0.013030584205186255,0.0898321311833348,True
MCAR,30,8,MICE,0.5013268196309005,0.008976020717186908,0.07544496613196207,True
MCAR,30,9,MICE,0.418131784104465,0.006244078174227963,0.05992343062899482,True
MCAR,30,10,MICE,0.35708827130952986,0.004554001196672443,0.05198974181566145,True
MCAR,40,1,MICE,0.5979013826208976,0.012767359404999321,0.0881573923415431,True
MCAR,40,2,MICE,0.7026472064403361,0.01763261059708601,0.10713329905289797,True
MCAR,40,3,MICE,0.5329476077248677,0.010144041163559268,0.07425203529240347,True
MCAR,40,4,MICE,0.8422695727736149,0.025336358329294564,0.11678207018316109,True
MCAR,40,5,MICE,0.687108121817849,0.016861341823858997,0.1014718000695177,True
MCAR,40,6,MICE,0.7002531794589049,0.017512661262225185,0.10311221135316742,True
MCAR,40,7,MICE,0.7267370633178553,0.018862384257137873,0.11780759842094002,True
MCAR,40,8,MICE,0.8873187183492652,0.028119089569035093,0.1454180420360775,True
MCAR,40,9,MICE,0.6082437128872243,0.013212871938101294,0.09142443377158267,True
MCAR,40,10,MICE,0.6646399246490968,0.015776651051341326,0.10555369943163775,True
MCAR,50,1,MICE,0.6503086374347533,0.015103618711508768,0.0983371869951649,True
MCAR,50,2,MICE,0.924478967840538,0.030523620070696655,0.13590006230593585,True
MCAR,50,3,MICE,0.8619996012132535,0.026537261160421717,0.12471370402193996,True
MCAR,50,4,MICE,0.9643284774574564,0.033211764729836286,0.14939813713610547,True
MCAR,50,5,MICE,0.8559965419208461,0.026168931420730242,0.12384937678595405,True
MCAR,50,6,MICE,0.8088740659711247,0.023367044807166403,0.12451997492623482,True
MCAR,50,7,MICE,0.8459989216434521,0.025561220550781565,0.13312151438538158,True
MCAR,50,8,MICE,0.6576946663191205,0.015448652646593548,0.10350551178824459,True
MCAR,50,9,MICE,0.7731535148604678,0.021348798483610553,0.12191970721147698,True
MCAR,50,10,MICE,0.9101315192840835,0.029583549371226932,0.141424771625151,True
MCAR,60,1,MICE,0.9048659861023312,0.029242230457319433,0.1394987797909852,True
MCAR,60,2,MICE,1.109745909048018,0.04398342795174327,0.16794307811949724,True
MCAR,60,3,MICE,0.8810110549159069,0.02772073138871568,0.1354056062870647,True
MCAR,60,4,MICE,1.1812393065864448,0.04983308212231517,0.18625507859815008,True
MCAR,60,5,MICE,1.1199715145262015,0.04479772119107549,0.18166389608682582,True
MCAR,60,6,MICE,1.3335321569048302,0.06351100048211603,0.19938262018648745,True
MCAR,60,7,MICE,0.8612352648772197,0.026490220766719096,0.12911963220770967,True
MCAR,60,8,MICE,0.9751034729813669,0.03395809939358298,0.15408180662105034,True
MCAR,60,9,MICE,1.1173505369659542,0.044588293659218084,0.16698393205623435,True
MCAR,60,10,MICE,0.9805675610181398,0.03433974077575226,0.15453870602869296,True
MCAR,70,1,MICE,1.1136064250121158,0.04428997392243804,0.1731781666056586,True
MCAR,70,2,MICE,1.2414840029599181,0.05504580462876365,0.185258524002212,True
MCAR,70,3,MICE,1.4234311893108356,0.07236272681081642,0.21345357695537745,True
MCAR,70,4,MICE,1.5672994297317409,0.08772955365848,0.2425430841458039,True
MCAR,70,5,MICE,1.2195458835177986,0.053117577214471724,0.19616236916920785,True
MCAR,70,6,MICE,1.3915472708183858,0.06915727881864635,0.2145231537608437,True
MCAR,70,7,MICE,0.932341514778273,0.03104502500639445,0.15357571909855897,True
MCAR,70,8,MICE,1.2835425329178847,0.05883862263604496,0.20933911639604022,True
MCAR,70,9,MICE,1.5493667559803068,0.08573347659060497,0.2459837981648132,True
MCAR,70,10,MICE,1.3856657414886058,0.06857391239768455,0.21124591296095652,True
MCAR,80,1,MICE,1.2572357030488197,0.05645148617930928,0.18956753964682507,True
MCAR,80,2,MICE,1.3438252381574614,0.06449522395389135,0.19710653596584943,True
MCAR,80,3,MICE,1.5706644445059244,0.08810667132982512,0.24032881384877003,True
MCAR,80,4,MICE,1.9147202931994078,0.13093406432820096,0.2724226256267176,True
MCAR,80,5,MICE,1.3392242729917594,1.7935216533703064,1.3392242729917594,False
MCAR,80,6,MICE,1.7374892415717464,0.10781674516348437,0.26951164894575314,True
MCAR,80,7,MICE,1.4619722775001145,0.07633439072067401,0.21739315453403615,True
MCAR,80,8,MICE,2.9664970511304807,0.5866736502910559,0.6827928270443945,False
MCAR,80,9,MICE,1.7150712898747824,0.10505248319116965,0.23967687085059125,True
MCAR,80,10,MICE,1.5815647186690802,0.08933381997638597,0.26485606430278047,True
MNAR,10,1,MICE,0.1415398316873802,0.0007154829983604257,0.02061004269368159,True
MNAR,10,2,MICE,0.2554222865454747,0.0023300194451470924,0.04060907825942376,True
MNAR,10,3,MICE,0.2028161962363988,0.001469086051992908,0.03257193439865077,True
MNAR,10,4,MICE,0.17405995604324268,0.0010820310106348418,0.026544359915618657,True
MNAR,10,5,MICE,0.22820627125394277,0.0018599322228438609,0.03514428400260868,True
MNAR,10,6,MICE,0.1929179993218543,0.0013291912307981063,0.03199395480231979,True
MNAR,10,7,MICE,0.1696114023241209,0.001027429564226957,0.02324391102765086,True
MNAR,10,8,MICE,0.22690398252283853,0.001838764903025879,0.030551006945558727,True
MNAR,10,9,MICE,0.24670964332566683,0.002173773146781348,0.039004689735916656,True
MNAR,10,10,MICE,0.19660574419626,0.0013804935232487581,0.02968524891592809,True
MNAR,20,1,MICE,0.3355667081784457,0.004021607701347076,0.049837121335187036,True
MNAR,20,2,MICE,0.3968296097507409,0.00562406211339019,0.06412265405779742,True
MNAR,20,3,MICE,0.4107311527689144,0.006025002851960047,0.06301548268539388,True
MNAR,20,4,MICE,0.2956277434064998,0.0031212772382721164,0.04598914605390865,True
MNAR,20,5,MICE,0.3151312329969634,0.0035467033575066584,0.04813130629726715,True
MNAR,20,6,MICE,0.2588996956216618,0.0023938947283210408,0.040731583626694205,True
MNAR,20,7,MICE,0.3050181362132058,0.003322716550677777,0.04953469264491872,True
MNAR,20,8,MICE,0.2607837855243207,0.00242886367115696,0.04137929523250262,True
MNAR,20,9,MICE,0.2529831612969354,0.0022857314249925434,0.04177615713224826,True
MNAR,20,10,MICE,0.3471684750538004,0.004304498216827901,0.054513283003041986,True
MNAR,30,1,MICE,0.4616970569439095,0.007613006156809557,0.06952656358190491,True
MNAR,30,2,MICE,0.42144619849560977,0.006343460650942889,0.06940869785076685,True
MNAR,30,3,MICE,0.3672846195378919,0.004817785419610499,0.0601346168011981,True
MNAR,30,4,MICE,0.43720750367448297,0.006826800045331179,0.06641844863581385,True
MNAR,30,5,MICE,0.4806367725010944,0.008250418110009598,0.07096080098743285,True
MNAR,30,6,MICE,0.42385365438580325,0.006416140012007141,0.06641119642838714,True
MNAR,30,7,MICE,0.3768983907364768,0.005073299890705212,0.05662536380038347,True
MNAR,30,8,MICE,0.6290204900416175,0.014130956317578451,0.09728581197436885,True
MNAR,30,9,MICE,0.548530713577571,0.010745926562068546,0.08706178582471484,True
MNAR,30,10,MICE,0.5008969310579624,0.008960633412260183,0.07364959073576098,True
MNAR,40,1,MICE,0.4667394114202819,0.007780202791891113,0.07177586200152186,True
MNAR,40,2,MICE,0.6140788193959907,0.013467599872527634,0.09200549036681369,True
MNAR,40,3,MICE,0.67400724274695,0.01622449154554807,0.10684008295463422,True
MNAR,40,4,MICE,0.5956229153761595,0.012670237761471276,0.09262973494470907,True
MNAR,40,5,MICE,0.5168500539746645,0.009540499224771916,0.08307288494540224,True
MNAR,40,6,MICE,0.5442994078735908,0.01058078019326934,0.07322736842597274,True
MNAR,40,7,MICE,0.7452201512145309,0.019834038349150294,0.11598760259606701,True
MNAR,40,8,MICE,0.5689493504832577,0.011560834407690028,0.08619820745667937,True
MNAR,40,9,MICE,0.5116017648336487,0.009347727349318,0.07917209408667318,True
MNAR,40,10,MICE,0.7918008652957674,0.022391021795825927,0.12053185670158824,True
