method,nan_in_y_pred,type,percent,iter,rmse,accuracy,precision,recall,f1,matthews_corr
FAMD,False,MAR,10,1,0.41785544701867244,0.8253968253968254,0.8319327731092437,0.9801980198019802,0.9,0.31373155692056914
FAMD,False,MAR,10,2,0.3834824944236852,0.8529411764705882,0.856,0.981651376146789,0.9145299145299145,0.46082205257211883
FAMD,False,MAR,10,3,0.45573271518765,0.7923076923076923,0.8,0.9803921568627451,0.881057268722467,0.18712029714127995
FAMD,False,MAR,10,4,0.4623207306786785,0.7862595419847328,0.7903225806451613,0.98,0.8749999999999999,0.2670136115774863
FAMD,False,MAR,10,5,0.5249671905758515,0.7244094488188977,0.7457627118644068,0.946236559139785,0.8341232227488151,0.11023212466211049
FAMD,False,MAR,10,6,0.36301920849513475,0.8682170542635659,0.8780487804878049,0.9818181818181818,0.927038626609442,0.3236866061826721
FAMD,False,MAR,10,7,0.4798081151232537,0.7697841726618705,0.7727272727272727,0.9807692307692307,0.864406779661017,0.24537247093625597
FAMD,False,MAR,10,8,0.4360514248003583,0.8098591549295775,0.8074074074074075,0.990909090909091,0.889795918367347,0.3443280536956124
FAMD,False,MAR,10,9,0.38274902388722587,0.8535031847133758,0.8581081081081081,0.9844961240310077,0.9169675090252708,0.38615123406026286
FAMD,False,MAR,10,10,0.42008402520840293,0.8235294117647058,0.8245614035087719,0.9894736842105263,0.8995215311004785,0.312280701754386
FAMD,False,MAR,20,1,0.4106427291215469,0.8313725490196079,0.8396624472573839,0.9754901960784313,0.9024943310657597,0.3597969162034565
FAMD,False,MAR,20,2,0.4294149078927831,0.8156028368794326,0.8199233716475096,0.9771689497716894,0.8916666666666667,0.3667180495237484
FAMD,False,MAR,20,3,0.46092755662274354,0.7875457875457875,0.7906976744186046,0.9807692307692307,0.8755364806866952,0.2803652103289399
FAMD,False,MAR,20,4,0.45626575442576234,0.79182156133829,0.7952755905511811,0.9805825242718447,0.8782608695652175,0.28641324215997804
FAMD,False,MAR,20,5,0.47269781408762984,0.7765567765567766,0.7975708502024291,0.9471153846153846,0.8659340659340659,0.25810212744298494
FAMD,False,MAR,20,6,0.40749436869312095,0.8339483394833949,0.8537549407114624,0.9642857142857143,0.9056603773584905,0.2692008685382424
FAMD,False,MAR,20,7,0.4688072309384954,0.7802197802197802,0.7961538461538461,0.9672897196261683,0.8734177215189872,0.13332970320841098
FAMD,False,MAR,20,8,0.4495860980662859,0.7978723404255319,0.8045112781954887,0.9771689497716894,0.8824742268041237,0.273264701174743
FAMD,False,MAR,20,9,0.4130961923860138,0.8293515358361775,0.843065693430657,0.9705882352941176,0.90234375,0.29933040979110076
FAMD,False,MAR,20,10,0.48126671093981094,0.7683823529411765,0.7730769230769231,0.9804878048780488,0.864516129032258,0.20958610296513577
FAMD,False,MAR,30,1,0.428025825003853,0.816793893129771,0.8179347826086957,0.9836601307189542,0.8931750741839762,0.3632588601004189
FAMD,False,MAR,30,2,0.4323377011671169,0.8130841121495327,0.8145363408521303,0.9818731117824774,0.8904109589041096,0.36478064517493897
FAMD,False,MAR,30,3,0.469041575982343,0.78,0.782608695652174,0.972972972972973,0.8674698795180723,0.32941595192770284
FAMD,False,MAR,30,4,0.4387482193696061,0.8075,0.8278688524590164,0.9558359621451105,0.8872620790629576,0.28616292585706343
FAMD,False,MAR,30,5,0.43480423913315197,0.8109452736318408,0.824,0.9686520376175548,0.8904899135446684,0.2805204595934406
