type,percent,iter,method,frobenius,avg_squared,mae,complete_data
MAR,10,1,cart,0.21166183617835058,0.0016000261747996757,0.03145424343129385,True
MAR,10,2,cart,0.18622284549127407,0.0012385338636738193,0.02534889853748526,True
MAR,10,3,cart,0.162394514983604,0.0009418563748842849,0.023447643179054838,True
MAR,10,4,cart,0.1892797137436293,0.001279528929816795,0.028387416218125214,True
MAR,10,5,cart,0.24436202420028086,0.002132599959687809,0.03575035327802317,True
MAR,10,6,cart,0.15392640892410875,0.0008461906915811409,0.024208606435096428,True
MAR,10,7,cart,0.18984705369359173,0.0012872108498620538,0.029792316030742207,True
MAR,10,8,cart,0.22189957840802244,0.0017585508177735032,0.030908394024005727,True
MAR,10,9,cart,0.19206440819827064,0.001317454889162569,0.02886777647922329,True
MAR,10,10,cart,0.18796043917685346,0.0012617545248412721,0.028953722424142066,True
MAR,20,1,cart,0.26822306612576263,0.002569414757210901,0.03970678836371049,True
MAR,20,2,cart,0.38215261443171067,0.005215736454178275,0.05508344902388262,True
MAR,20,3,cart,0.31281313223797974,0.003494716275019135,0.04415409400260885,True
MAR,20,4,cart,0.3639525149129684,0.004730765468266945,0.055969301024034177,True
MAR,20,5,cart,0.3140349316220681,0.0035220692242456065,0.05000364385493009,True
MAR,20,6,cart,0.2554309470274142,0.002330177453547203,0.03858885238919162,True
MAR,20,7,cart,0.3333717889955872,0.0039691696320756555,0.05426044879498606,True
MAR,20,8,cart,0.3710884115811381,0.004918093186064719,0.05479733107248402,True
MAR,20,9,cart,0.24091034709356415,0.002072778404883627,0.03772669914761545,True
MAR,20,10,cart,0.24165064272177667,0.0020855368974231343,0.03567868456963481,True
MAR,30,1,cart,0.38758912900225073,0.0053651904614544065,0.05913530204953109,True
MAR,30,2,cart,0.4011903606304898,0.005748346623672231,0.06514519336212396,True
MAR,30,3,cart,0.5422275457292666,0.010500382548127995,0.08557763327318249,True
MAR,30,4,cart,0.3497841278866103,0.004369604861478448,0.05417591888226554,True
MAR,30,5,cart,0.4174720782998744,0.006224390577143446,0.060932491391214004,True
MAR,30,6,cart,0.3674270722612002,0.004821523336801329,0.05841069604602789,True
MAR,30,7,cart,0.3677622384314538,0.004830323714861195,0.049898059747582275,True
MAR,30,8,cart,0.37438013736478903,0.0050057316876170824,0.055672312970133496,True
MAR,30,9,cart,0.3188437205287015,0.0036307613614494543,0.04664282865487448,True
MAR,30,10,cart,0.4590641478365602,0.007526424708175257,0.06748929357818094,True
MAR,40,1,cart,0.42524318676041967,0.006458277424505612,0.0615257362216717,True
MAR,40,2,cart,0.47365850611494636,0.008012585014822953,0.07295893930903861,True
MAR,40,3,cart,0.5610181239582924,0.011240761978917213,0.09055287129879597,True
MAR,40,4,cart,0.6070173640957466,0.013159645725491007,0.08893573877508605,True
MAR,40,5,cart,0.43113587167279993,0.00663850499439518,0.0649452685307595,True
MAR,40,6,cart,0.5369951931607113,0.010298708481346772,0.08361761343076557,True
MAR,40,7,cart,0.5182150278692588,0.009590957682483452,0.08120486705208532,True
MAR,40,8,cart,0.45273642159208966,0.007320366694143226,0.07515262574951012,True
MAR,40,9,cart,0.42567406190630547,0.006471371677850471,0.06806901361896704,True
MAR,40,10,cart,0.4963966890297493,0.008800345459989202,0.07384569385690345,True
MAR,50,1,cart,0.6114919742105408,0.013354372661568026,0.09189344467470884,True
MAR,50,2,cart,0.5542009334532275,0.010969238380015314,0.08718627824389795,True
MAR,50,3,cart,0.7910533169386195,0.022348762508556854,0.12777521806409523,True
MAR,50,4,cart,0.5523327791162673,0.01089541067451069,0.08147460587794438,True
MAR,50,5,cart,0.5298430194388999,0.010026200901718943,0.07869183486749387,True
MAR,50,6,cart,0.6288217446753123,0.014122028092017985,0.09036725082009196,True
MAR,50,7,cart,0.6435539065576323,0.014791486808771062,0.09905799545629149,True
MAR,50,8,cart,0.6335648323084236,0.014335871312071462,0.10120884122300897,True
MAR,50,9,cart,0.6431763799193618,0.01477413770307769,0.0977983307744846,True
MAR,50,10,cart,0.6418088147970801,0.014711376955401163,0.10469026398068593,True
MAR,60,1,cart,0.6393465747711152,0.014598715809698473,0.09808304696560302,True
MAR,60,2,cart,0.7194410246824152,0.018485549571288697,0.10659105451422324,True
MAR,60,3,cart,0.8096802001536314,0.023413643804315164,0.12390463183466983,True
MAR,60,4,cart,0.6762227556481982,0.01633132911630153,0.10448029827108458,True
MAR,60,5,cart,0.7461861046525947,0.019885489384879034,0.10588745945920852,True
MAR,60,6,cart,0.7739379453014236,0.0213921408277639,0.10816236627718022,True
MAR,60,7,cart,0.620415395393162,0.013746973672887627,0.09356755606754986,True
MAR,60,8,cart,0.8671973215590346,0.026858256947112993,0.13143641219733349,True
MAR,60,9,cart,0.7978367200686829,0.02273369399606978,0.12176988742022068,True
MAR,60,10,cart,0.8010444528818196,0.0229168648390262,0.12297855939727385,True
MAR,70,1,cart,1.1154981452116781,0.04444057542752478,0.17674600475903587,True
MAR,70,2,cart,0.7106286322188563,0.018035466176044377,0.10739117277813186,True
MAR,70,3,cart,0.9592319935629787,0.03286164348124309,0.13947828766607698,True
MAR,70,4,cart,0.8644311961861597,0.026687189033565532,0.13366629583146888,True
MAR,70,5,cart,0.7355808781293074,0.019324258152481535,0.10292595427029667,True
MAR,70,6,cart,0.9333828748904723,0.03111441396924297,0.1277338348021309,True
MAR,70,7,cart,0.8704780144692493,0.027061856202654524,0.13805519577612416,True
MAR,70,8,cart,0.8473317763195217,0.025641826398599854,0.12055011548206084,True
MAR,70,9,cart,0.9362253922490263,0.031304213753280116,0.13962766412705677,True
MAR,70,10,cart,1.2206521520654314,0.05321398844078461,0.1748475712433623,True
MAR,80,1,cart,2.7777260258281333,0.27556292409153416,0.44237996110760464,True
MAR,80,2,cart,1.0562979841656865,0.039848765405446185,0.15806270690609978,True
MAR,80,3,cart,1.0292404892940623,0.03783342802865288,0.16009521349738012,True
MAR,80,4,cart,1.0777484288373123,0.04148363128076054,0.16909133093069192,True
MAR,80,5,cart,1.2125756106197012,0.05251212898106219,0.1817994951313507,True
MAR,80,6,cart,1.2525565928047013,0.056032072077804376,0.1891720640899157,True
MAR,80,7,cart,1.2629903770808404,0.05696945330710012,0.17940637430830128,True
MAR,80,8,cart,0.8568778978845824,0.026222847567253595,0.13488074793606467,True
MAR,80,9,cart,0.9659219448855882,0.03332161441469848,0.13560225879514895,True
MAR,80,10,cart,0.9697176022958963,0.03358400815008936,0.13844320155761486,True
MCAR,10,1,cart,0.2588571747081825,0.002393108460639375,0.03874562109956881,True
MCAR,10,2,cart,0.2729333263747682,0.0026604500230712758,0.040207849273519246,True
MCAR,10,3,cart,0.2284043255299273,0.0018631619971707495,0.03914123942267249,True
MCAR,10,4,cart,0.2344844376638367,0.001963676839518776,0.034491374683736656,True
MCAR,10,5,cart,0.3206040610561286,0.0036709629987743513,0.05182567605030219,True
MCAR,10,6,cart,0.21139613452913308,0.0015960116319235476,0.030004012113865542,True
MCAR,10,7,cart,0.2603363194686815,0.0024205356869464074,0.04086903684180437,True
MCAR,10,8,cart,0.20349852155369974,0.0014789874383764855,0.02862677985189902,True
MCAR,10,9,cart,0.21805936496707842,0.0016982102374944823,0.026869285400735885,True
MCAR,10,10,cart,0.26849725850926476,0.0025746706366782486,0.0433329527983155,True
MCAR,20,1,cart,0.2908730057761073,0.003021682338900977,0.04231247611734785,True
MCAR,20,2,cart,0.32885624366811467,0.0038623724642679433,0.0484686746258725,True
MCAR,20,3,cart,0.3599625514540174,0.004627608516045933,0.054126906894253125,True
MCAR,20,4,cart,0.41090698334721304,0.006030162462982386,0.0648297670005763,True
MCAR,20,5,cart,0.30740148065479744,0.0033748453681700648,0.04440431445552125,True
MCAR,20,6,cart,0.32617005322693005,0.00379953227221637,0.04518904431094275,True
MCAR,20,7,cart,0.277550716503761,0.0027512285797053966,0.04405359605137516,True
MCAR,20,8,cart,0.4632741125002574,0.0076651036897464695,0.07063732181338638,True
MCAR,20,9,cart,0.3368549970391112,0.004052546036793558,0.05084007016058032,True
MCAR,20,10,cart,0.42536682702828377,0.006462033483432496,0.06317565761029338,True
MCAR,30,1,cart,0.4625567620244412,0.007641384217661982,0.07040995120318141,True
MCAR,30,2,cart,0.47929970443033715,0.00820457880953602,0.07155804700154825,True
MCAR,30,3,cart,0.39364144253412514,0.005534056617155248,0.061467916403107725,True
MCAR,30,4,cart,0.6268115803922393,0.014031884189779164,0.08944558324344444,True
MCAR,30,5,cart,0.5459727970927153,0.0106459391130444,0.0863342212956568,True
MCAR,30,6,cart,0.46669823232549784,0.007778830001990871,0.07030148298031552,True
MCAR,30,7,cart,0.493364478149788,0.008693161010714738,0.0733809017896128,True
MCAR,30,8,cart,0.48066586685635215,0.00825141698431316,0.07474963198384403,True
MCAR,30,9,cart,0.4782105993661588,0.008167334905219314,0.06931678277700423,True
MCAR,30,10,cart,0.3637612169786239,0.0047257936777774815,0.05125897195028974,True
MCAR,40,1,cart,0.5548148833576483,0.010993555528398603,0.08736157218919297,True
MCAR,40,2,cart,0.5325563408566127,0.01012915200666374,0.08454104749256204,True
MCAR,40,3,cart,0.5256767582898004,0.009869144793074044,0.07999265000095336,True
MCAR,40,4,cart,0.7070265482382974,0.017853090711205763,0.10326920482001554,True
MCAR,40,5,cart,0.4648967239030454,0.007718891567706586,0.06603810138601127,True
MCAR,40,6,cart,0.5880156791727568,0.012348658534035658,0.09282667586164747,True
MCAR,40,7,cart,0.447424451128947,0.007149594266715698,0.06721871739025961,True
MCAR,40,8,cart,0.4477186989567944,0.007159001192698738,0.0699079359104986,True
MCAR,40,9,cart,0.5646644242171037,0.011387353999158332,0.09228994069614184,True
MCAR,40,10,cart,0.5600278446990454,0.011201113815652076,0.08340743709925479,True
MCAR,50,1,cart,0.6930540676891966,0.017154426455019342,0.11177536696586111,True
MCAR,50,2,cart,0.8407561756803068,0.025245390962306248,0.11253519150398782,True
MCAR,50,3,cart,0.6572239137418557,0.015426545456934367,0.09831631250837322,True
MCAR,50,4,cart,0.8403578043775609,0.02522147283493839,0.12624521256429594,True
MCAR,50,5,cart,0.702186917358541,0.017609516675338947,0.10943905713275519,True
MCAR,50,6,cart,0.6472701866879138,0.014962810520535958,0.09738808771082118,True
MCAR,50,7,cart,0.561639666529926,0.011265682679280234,0.08633071259814513,True
MCAR,50,8,cart,0.7678150721245564,0.02105499946362992,0.10416783384782292,True
MCAR,50,9,cart,0.6734675277984518,0.0161985182499628,0.10283098815281552,True
MCAR,50,10,cart,0.6482204644893249,0.015006777520812722,0.09941374911165812,True
MCAR,60,1,cart,1.0867982849157893,0.04218323257485362,0.1757633882505023,True
MCAR,60,2,cart,0.8475600391269779,0.025655643568747295,0.13648284800544802,True
